Data Field,Value
Study ID,Bannwart 1982
Title,Reduction of Exogenous Oxalate in Urine of Rats by Binding with Aluminium-oxyhydrate (Andursil®) and an Anion-exchanger (Colestid®) in the Intestinal Tract
First Author,C. Bannwart
Year,1982
Journal,Urological Research
Country,Switzerland
DOI / PMID / Trial Registry ID,NR
Funding Source,NR
Conflict of Interest Stated?,NR
Study Design,Animal experiment
Control Group Type,Standard diet (0.9% calcium content)
Blinding,NR
Randomization Method,NR
Allocation Concealment,NR
Dietary Restrictions or Co-interventions?,Standard diet for rats (NAFAG No. 900) with free access to food and water
Duration of Treatment,12 days
Total Follow-up Duration,12 days
Loss to Follow-up (n per arm if reported),NR
Analysis Population Used,NR
Total Sample Size (Randomized),20 female Wistar rats
Sample Size Analyzed (Primary Outcome),20
Mean Age (± SD),NR
Sex (% Female),100%
BMI (Mean ± SD),NR
Stone Type,Calcium oxalate
History of Stones,N/A
Baseline Stone Size or Burden (if reported),N/A
Baseline Urinary Calcium (Mean ± SD, units),NR
Baseline Urinary pH (Mean ± SD),NR
Species,Wistar rats
Stone Induction Method,Daily dose of 15 mg oxalate in a 3% solution of 14C-labelled sodium oxalate via gastric tube
Arm ID,A
Intervention Name,Calcium carbonate (Ca2+)
Dose,5%
Frequency,Daily (mixed with food)
Route,Oral
Comparator Name,Standard diet (0.9% calcium)
Concomitant Medications Allowed?,NR
Outcome A: Stone Recurrence / New Stone Formation (DICHOTOMOUS),N/A
Outcome Definition (verbatim or summary),Exogenous oxalate in urine (percentage of administered dose)
Method of Detection,14C-activity in urine measured by liquid scintillation counting
Timepoint Assessed,4 periods of 3 days each
Events (n) [Intervention],NR
Total (N) [Intervention],5
Events (n) [Control],NR
Total (N) [Control],5
Effect Measure Reported in Paper,Percentage of administered dose
Time-to-Event Data Reported?,NR
Outcome B: Urinary Biochemistry (CONTINUOUS),N/A
Timepoint Assessed,3 days (extreme values)
Urine Calcium [Intervention],NR
Urine Calcium [Control],NR
Urine Citrate [Intervention],NR
Urine Citrate [Control],NR
Urine Oxalate [Intervention],"0.7% (at 2,280 mg uptake)"
Urine Oxalate [Control],19.5% (at 130 mg uptake)
Urine Magnesium [Intervention],NR
Urine Magnesium [Control],NR
Urine pH [Intervention],NR
Urine pH [Control],NR
Urine Phosphorus [Intervention],NR
Urine Phosphorus [Control],NR
Variance Type Used,NR
Outcome C: ANIMAL-ONLY OUTCOMES,N/A
Kidney Calcium Content (Mean ± SD),N/A
Intervention,NR
Control,NR
Crystal Deposit Score (Mean ± SD),N/A
Intervention,NR
Control,NR
GI Symptoms (n per arm),NR
