Data Field,Value
Study ID,Boydston 2020
Title,The Impact of Alternative Alkalinizing Agents on 24-Hour Urine Parameters
First Author,Kohldon Boydston
Year,2020
Journal,UROLOGY 142
Country,USA
DOI / PMID / Trial Registry ID,10.1016/j.urology.2020.04.047
Funding Source,NR
Conflict of Interest Stated?,Authors declare that they have no conflict of interest.
Study Design,Retrospective cohort study
Control Group Type,Active control (Potassium Citrate)
Blinding,NR
Randomization Method,NR
Allocation Concealment,NR
Dietary Restrictions or Co-interventions?,NR
Duration of Treatment,at least 3 months
Total Follow-up Duration,NR
Loss to Follow-up (n per arm if reported),NR
Analysis Population Used,Adult stone formers
Total Sample Size (Randomized),552
Sample Size Analyzed (Primary Outcome),552
Mean Age (± SD),"AA: 62.86 [53.42, 69.63] years, KCIT: 58.82 [47.93, 67.12] years"
Sex (% Female),"AA: 44.3%, KCIT: 45.4%"
BMI (Mean ± SD),"AA: 28.81 [24.72, 33.46], KCIT: 29.85 [26.39, 35.15]"
Stone Type,NR
History of Stones,Adult stone formers
Baseline Stone Size or Burden (if reported),NR
Baseline Urinary Calcium (Mean ± SD, units),"AA: 106.58 [52.13, 173.76] mg, KCIT: 161.74 [97.68, 248.81] mg"
Baseline Urinary pH (Mean ± SD),"AA: 5.43 [5.31, 5.64], KCIT: 5.61 [5.45, 5.78]"
Species,N/A
Stone Induction Method,N/A
Arm ID,A
Intervention Name,Alternate Alkali (AA) - Sodium Bicarbonate or Potassium Bicarbonate
Dose,NAB 1300 mg or KB 25 mEq
Frequency,twice daily
Route,Oral
Comparator Name,Potassium Citrate (KCIT)
Concomitant Medications Allowed?,NR
Outcome A: Stone Recurrence / New Stone Formation (DICHOTOMOUS),N/A
Outcome Definition (verbatim or summary),Change in 24-hour urinary citrate
Method of Detection,24-hour urine collection
Timepoint Assessed,3 months
Events (n) [Intervention],NR
Total (N) [Intervention],70
Events (n) [Control],NR
Total (N) [Control],482
Effect Measure Reported in Paper,NR
Time-to-Event Data Reported?,NR
Outcome B: Urinary Biochemistry (CONTINUOUS),N/A
Timepoint Assessed,3 months
Urine Calcium [Intervention],"104.06 (52.96, 178.63) mg"
Urine Calcium [Control],"168.13 (105.20, 237.82) mg"
Urine Citrate [Intervention],"496.16 [233.51, 757.00] mg"
Urine Citrate [Control],"656.29 [410.69, 990.47] mg"
Urine Oxalate [Intervention],"SS CaOx: 3.89 [1.88, 6.73]"
Urine Oxalate [Control],"SS CaOx: 5.10 [3.04, 7.43]"
Urine Magnesium [Intervention],NR
Urine Magnesium [Control],NR
Urine pH [Intervention],"5.98 [5.67, 6.39]"
Urine pH [Control],"6.24 [5.78, 6.68]"
Urine Phosphorus [Intervention],NR
Urine Phosphorus [Control],NR
Variance Type Used,Median [IQR]
Outcome C: ANIMAL-ONLY OUTCOMES,N/A
Kidney Calcium Content (Mean ± SD),N/A
Intervention,NR
Control,NR
Crystal Deposit Score (Mean ± SD),N/A
Intervention,NR
Control,NR
GI Symptoms (n per arm),19% (cited as reason for switch from KCIT)
Withdrawals Due to Adverse Events (n per arm),NR
Other Adverse Events (verbatim),"Hyperkalemia (24%), cost (17%)"
Primary Timepoint Recommended for Pooling,3 months
Outcome Suitable for Meta-analysis? (Yes / No),Yes
Data Requires Imputation for SD? (Yes / No / Not sure),No
Comments / Extraction Notes,"Retrospective study comparing new start of alternate alkali vs potassium citrate, and switching from KCIT to AA. Patient-reported adherence rates: 69% (AA) vs 58% (KCIT)."
