Data Field,Value
Study ID,Cooke 1978
Title,Antacid-Induced Osteomalacia and Nephrolithiasis
First Author,Nancy Cooke
Year,1978
Journal,Arch Intern Med
Country,USA
DOI / PMID / Trial Registry ID,NR
Funding Source,NR
Conflict of Interest Stated?,NR
Study Design,Case Report
Control Group Type,Self (Pre-intervention baseline)
Blinding,NR
Randomization Method,N/A
Allocation Concealment,N/A
Dietary Restrictions or Co-interventions?,Cessation of antacid intake
Duration of Treatment,Two months
Total Follow-up Duration,Two months after discharge
Loss to Follow-up (n per arm if reported),0
Analysis Population Used,Case report (1 patient)
Total Sample Size (Randomized),1
Sample Size Analyzed (Primary Outcome),1
Mean Age (± SD),36 years
Sex (% Female),100%
BMI (Mean ± SD),NR
Stone Type,radiopaque renal stone
History of Stones,Yes (recurrent renal stones)
Baseline Stone Size or Burden (if reported),0.5-cm
Baseline Urinary Calcium (Mean ± SD, units),250 to 360 mg/24 hrs
Baseline Urinary pH (Mean ± SD),NR
Species,N/A
Stone Induction Method,Prolonged ingestion of aluminum-magnesium hydroxide gel (at least 340 g per day)
Arm ID,A
Intervention Name,Oral phosphate supplementation and cessation of antacid
Dose,1.5 g/day
Frequency,NR
Route,oral
Comparator Name,Aluminum-magnesium hydroxide gel
Concomitant Medications Allowed?,NR
Outcome A: Stone Recurrence / New Stone Formation (DICHOTOMOUS),N/A
Outcome Definition (verbatim or summary),"Resolution of symptoms (bone pain, muscle weakness) and reversal of laboratory findings (hypophosphatemia, hypercalciuria)"
Method of Detection,"Physical examination, blood and urine chemistry"
Timepoint Assessed,Two months
Events (n) [Intervention],1
Total (N) [Intervention],1
Events (n) [Control],1
Total (N) [Control],1
Effect Measure Reported in Paper,Clinical resolution
Time-to-Event Data Reported?,NR
Outcome B: Urinary Biochemistry (CONTINUOUS),N/A
Timepoint Assessed,Two months
Urine Calcium [Intervention],54 mg/24 hr
Urine Calcium [Control],261 mg/kg body weight
Urine Citrate [Intervention],NR
Urine Citrate [Control],NR
Urine Oxalate [Intervention],NR
Urine Oxalate [Control],NR
Urine Magnesium [Intervention],NR
Urine Magnesium [Control],NR
Urine pH [Intervention],NR
Urine pH [Control],NR
Urine Phosphorus [Intervention],"1,800 mg/24 hr"
Urine Phosphorus [Control],<1 mg
Variance Type Used,N/A
Outcome C: ANIMAL-ONLY OUTCOMES,N/A
Kidney Calcium Content (Mean ± SD),N/A
Intervention,NR
Control,NR
Crystal Deposit Score (Mean ± SD),N/A
Intervention,NR
Control,NR
GI Symptoms (n per arm),"chronic constipation, bloating, epigastric burning"
Withdrawals Due to Adverse Events (n per arm),NR
Other Adverse Events (verbatim),"bone pain, muscle weakness, rib fractures, weight loss (6.7 kg), osteomalacia"
Primary Timepoint Recommended for Pooling,Two months
Outcome Suitable for Meta-analysis? (Yes / No),No
Data Requires Imputation for SD? (Yes / No / Not sure),No
Comments / Extraction Notes,"The control values provided in 'arms' for urinary calcium and phosphorus are the patient's values during active antacid intake as reported in Table 1. Note that the table reports urinary calcium as mg/kg body weight, while the text specifies 250 to 360 mg/24 hrs."
