Data Field,Value
Study ID,Cowley 1989
Title,Effect of Citrate on the Urinary Excretion of Calcium and Oxalate: Relevance to Calcium Oxalate Nephrolithiasis
First Author,Cowley
Year,1989
Journal,CLINICAL CHEMISTRY
Country,Australia
DOI / PMID / Trial Registry ID,NR
Funding Source,John P. Kelly Research Foundation
Conflict of Interest Stated?,NR
Study Design,Case-control / crossover metabolic study
Control Group Type,Healthy hospital personnel
Blinding,NR
Randomization Method,NR
Allocation Concealment,NR
Dietary Restrictions or Co-interventions?,Low and high-calcium diets in the hospital
Duration of Treatment,NR
Total Follow-up Duration,NR
Loss to Follow-up (n per arm if reported),NR
Analysis Population Used,NR
Total Sample Size (Randomized),56
Sample Size Analyzed (Primary Outcome),56
Mean Age (± SD),"43 y (stone-formers), 32 y (normal controls)"
Sex (% Female),41.1%
BMI (Mean ± SD),NR
Stone Type,calcium oxalate
History of Stones,All had formed more than one mixed calcium oxalate/phosphate stone
Baseline Stone Size or Burden (if reported),NR
Baseline Urinary Calcium (Mean ± SD, units),NR
Baseline Urinary pH (Mean ± SD),NR
Species,N/A
Stone Induction Method,N/A
Arm ID,A
Intervention Name,NR
Dose,NR
Frequency,NR
Route,NR
Comparator Name,NR
Concomitant Medications Allowed?,NR
Outcome A: Stone Recurrence / New Stone Formation (DICHOTOMOUS),N/A
Outcome Definition (verbatim or summary),NR
Method of Detection,NR
Timepoint Assessed,NR
Events (n) [Intervention],NR
Total (N) [Intervention],NR
Events (n) [Control],NR
Total (N) [Control],NR
Effect Measure Reported in Paper,NR
Time-to-Event Data Reported?,NR
Outcome B: Urinary Biochemistry (CONTINUOUS),N/A
Timepoint Assessed,NR
Urine Calcium [Intervention],NR
Urine Calcium [Control],NR
Urine Citrate [Intervention],NR
Urine Citrate [Control],NR
Urine Oxalate [Intervention],NR
Urine Oxalate [Control],NR
Urine Magnesium [Intervention],NR
Urine Magnesium [Control],NR
Urine pH [Intervention],NR
Urine pH [Control],NR
Urine Phosphorus [Intervention],NR
Urine Phosphorus [Control],NR
Variance Type Used,NR
Outcome C: ANIMAL-ONLY OUTCOMES,N/A
Kidney Calcium Content (Mean ± SD),N/A
Intervention,NR
Control,NR
Crystal Deposit Score (Mean ± SD),N/A
Intervention,NR
Control,NR
GI Symptoms (n per arm),NR
Withdrawals Due to Adverse Events (n per arm),NR
Other Adverse Events (verbatim),NR
Primary Timepoint Recommended for Pooling,24-h
Outcome Suitable for Meta-analysis? (Yes / No),NR
Data Requires Imputation for SD? (Yes / No / Not sure),NR
Comments / Extraction Notes,NR
