Data Field,Value
Study ID,Cruz Guerra 2000
Title,LITIASIS URINARIA DE SÍLICE: APORTACIÓN DE UN NUEVO CASO
First Author,N.A. CRUZ GUERRA
Year,2000
Journal,Actas Urológicas Españolas
Country,Spain
DOI / PMID / Trial Registry ID,NR
Funding Source,NR
Conflict of Interest Stated?,NR
Study Design,Case Report
Control Group Type,N/A
Blinding,N/A
Randomization Method,N/A
Allocation Concealment,N/A
Dietary Restrictions or Co-interventions?,NR
Duration of Treatment,NR
Total Follow-up Duration,un año
Loss to Follow-up (n per arm if reported),0
Analysis Population Used,Single patient
Total Sample Size (Randomized),1
Sample Size Analyzed (Primary Outcome),1
Mean Age (± SD),71 años
Sex (% Female),0%
BMI (Mean ± SD),NR
Stone Type,sílice (dióxido de silicio o Si O2)
History of Stones,"crisis renoureterales ocasionales (última ocasión hacía unos 6 meses), a veces expulsivas"
Baseline Stone Size or Burden (if reported),4 mm de diámetro en grupo calicial inferior renal derecho; 9x4 mm en uréter pelviano homolateral
Baseline Urinary Calcium (Mean ± SD, units),NR
Baseline Urinary pH (Mean ± SD),"5,45"
Species,N/A
Stone Induction Method,N/A
Arm ID,A
Intervention Name,Sustitución de antiácido e instauración de citrato potásico
Dose,NR
Frequency,NR
Route,Oral
Comparator Name,N/A
Concomitant Medications Allowed?,citrato potásico
Outcome A: Stone Recurrence / New Stone Formation (DICHOTOMOUS),N/A
Outcome Definition (verbatim or summary),Ausencia de restos litiásicos
Method of Detection,UIV de control
Timepoint Assessed,3 meses post-LEOC
Events (n) [Intervention],0
Total (N) [Intervention],1
Events (n) [Control],N/A
Total (N) [Control],N/A
Effect Measure Reported in Paper,NR
Time-to-Event Data Reported?,NR
Outcome B: Urinary Biochemistry (CONTINUOUS),N/A
Timepoint Assessed,NR
Urine Calcium [Intervention],NR
Urine Calcium [Control],N/A
Urine Citrate [Intervention],NR
Urine Citrate [Control],N/A
Urine Oxalate [Intervention],NR
Urine Oxalate [Control],N/A
Urine Magnesium [Intervention],NR
Urine Magnesium [Control],N/A
Urine pH [Intervention],NR
Urine pH [Control],N/A
Urine Phosphorus [Intervention],NR
Urine Phosphorus [Control],N/A
Variance Type Used,NR
Outcome C: ANIMAL-ONLY OUTCOMES,N/A
Kidney Calcium Content (Mean ± SD),N/A
Intervention,NR
Control,N/A
Crystal Deposit Score (Mean ± SD),N/A
Intervention,NR
Control,N/A
GI Symptoms (n per arm),NR
Withdrawals Due to Adverse Events (n per arm),0
Other Adverse Events (verbatim),NR
Primary Timepoint Recommended for Pooling,3 meses
Outcome Suitable for Meta-analysis? (Yes / No),No
Data Requires Imputation for SD? (Yes / No / Not sure),No
Comments / Extraction Notes,Case report describing silica stones associated with long-term ingestion of magnesium trisilicate antacids. The patient underwent LEOC and urinary alkalinization treatment.
