Data Field,Value
Study ID,Fong NR
Title,Effect of oral sodium bicarbonate on calcium-phosphate nephrolithiasis risk in chronic kidney disease: a secondary analysis of the BASE Pilot Trial
First Author,Peter S Fong
Year,NR
Journal,NR
Country,USA
DOI / PMID / Trial Registry ID,NR
Funding Source,"National Institutes of Diabetes and Digestive and Kidney Diseases Pilot Clinical Trials consortium (U01DK097093, U01DK099877, U01DK099924, U01DK099930, U01DK099933)"
Conflict of Interest Stated?,NR
Study Design,Secondary analysis of a randomized controlled trial (BASE Pilot Trial)
Control Group Type,Placebo
Blinding,NR
Randomization Method,NR
Allocation Concealment,NR
Dietary Restrictions or Co-interventions?,NR
Duration of Treatment,28 weeks
Total Follow-up Duration,28 weeks
Loss to Follow-up (n per arm if reported),"26 participants (194 randomized, 168 analyzed)"
Analysis Population Used,NR
Total Sample Size (Randomized),194
Sample Size Analyzed (Primary Outcome),168
Mean Age (± SD),67.2 ± 11.9
Sex (% Female),28.0%
BMI (Mean ± SD),NR
Stone Type,Calcium-Phosphate (postulated)
History of Stones,2 (1.2%)
Baseline Stone Size or Burden (if reported),NR
Baseline Urinary Calcium (Mean ± SD, units),0.04 ± 0.06 mg/mg (Ca/Cr)
Baseline Urinary pH (Mean ± SD),5.78 ± 0.48
Species,N/A
Stone Induction Method,N/A
Arm ID,A
Intervention Name,Higher-dose (HD) NaHCO3
Dose,0.8 meq/kg/d
Frequency,NR
Route,Oral
Comparator Name,Placebo
Concomitant Medications Allowed?,NR
Outcome A: Stone Recurrence / New Stone Formation (DICHOTOMOUS),N/A
Outcome Definition (verbatim or summary),NR
Method of Detection,NR
Timepoint Assessed,NR
Events (n) [Intervention],NR
Total (N) [Intervention],76
Events (n) [Control],NR
Total (N) [Control],45
Effect Measure Reported in Paper,NR
Time-to-Event Data Reported?,NR
Outcome B: Urinary Biochemistry (CONTINUOUS),N/A
Timepoint Assessed,28 weeks
Urine Calcium [Intervention],"5.0 (-25.1, 47.2) % [Mean Δ vs placebo]"
Urine Calcium [Control],NR
Urine Citrate [Intervention],"145.7 (93.1, 212.6) % [Mean Δ vs placebo]"
Urine Citrate [Control],NR
Urine Oxalate [Intervention],NR
Urine Oxalate [Control],NR
Urine Magnesium [Intervention],NR
Urine Magnesium [Control],NR
Urine pH [Intervention],"0.97 (0.80, 1.14) [Mean Δ vs placebo]"
Urine pH [Control],NR
Urine Phosphorus [Intervention],"-87.6 (-186.9, 11.8) mg/d [Mean Δ vs placebo]"
Urine Phosphorus [Control],NR
Variance Type Used,95% CI
Outcome C: ANIMAL-ONLY OUTCOMES,N/A
Kidney Calcium Content (Mean ± SD),N/A
Intervention,NR
Control,NR
Crystal Deposit Score (Mean ± SD),N/A
Intervention,NR
Control,NR
GI Symptoms (n per arm),NR
Withdrawals Due to Adverse Events (n per arm),NR
Other Adverse Events (verbatim),NR
Primary Timepoint Recommended for Pooling,28 weeks
Outcome Suitable for Meta-analysis? (Yes / No),Yes
Data Requires Imputation for SD? (Yes / No / Not sure),No
Comments / Extraction Notes,Secondary analysis of BASE Pilot Trial. Table 2 reports mean changes (Δ) in urinary parameters compared to the placebo group.
Study ID,Fong NR
Title,Effect of oral sodium bicarbonate on calcium-phosphate nephrolithiasis risk in chronic kidney disease: a secondary analysis of the BASE Pilot Trial
First Author,Peter S Fong
Year,NR
Journal,NR
Country,USA
DOI / PMID / Trial Registry ID,NR
Funding Source,"National Institutes of Diabetes and Digestive and Kidney Diseases Pilot Clinical Trials consortium (U01DK097093, U01DK099877, U01DK099924, U01DK099930, U01DK099933)"
Conflict of Interest Stated?,NR
Study Design,Secondary analysis of a randomized controlled trial (BASE Pilot Trial)
Control Group Type,Placebo
Blinding,NR
Randomization Method,NR
Allocation Concealment,NR
Dietary Restrictions or Co-interventions?,NR
Duration of Treatment,28 weeks
Total Follow-up Duration,28 weeks
Loss to Follow-up (n per arm if reported),"26 participants (194 randomized, 168 analyzed)"
Analysis Population Used,NR
Total Sample Size (Randomized),194
Sample Size Analyzed (Primary Outcome),168
Mean Age (± SD),67.2 ± 11.9
Sex (% Female),28.0%
BMI (Mean ± SD),NR
Stone Type,Calcium-Phosphate (postulated)
