Data Field,Value
Study ID,Freed 1975
Title,THE ALTERNATING USE OF AN ALKALIZING SALT AND ACETAZOLAMIDE IN THE MANAGEMENT OF CYSTINE AND URIC ACID STONES
First Author,Selwyn Z. Freed
Year,1975
Journal,The Journal of Urology
Country,USA
DOI / PMID / Trial Registry ID,NR
Funding Source,NR
Conflict of Interest Stated?,NR
Study Design,Case Series
Control Group Type,N/A
Blinding,NR
Randomization Method,NR
Allocation Concealment,NR
Dietary Restrictions or Co-interventions?,low calcium diet to limit the hazard of phosphatic precipitation and a low purine diet in the case of uric acid stone formers
Duration of Treatment,3 weeks to 24 years
Total Follow-up Duration,up to 24 years
Loss to Follow-up (n per arm if reported),1 patient
Analysis Population Used,NR
Total Sample Size (Randomized),20
Sample Size Analyzed (Primary Outcome),20
Mean Age (± SD),NR
Sex (% Female),NR
BMI (Mean ± SD),NR
Stone Type,Cystine and Uric acid stones
History of Stones,Yes
Baseline Stone Size or Burden (if reported),NR
Baseline Urinary Calcium (Mean ± SD, units),NR
Baseline Urinary pH (Mean ± SD),NR
Species,N/A
Stone Induction Method,N/A
Arm ID,A
Intervention Name,Acetazolamide and Sodium Bicarbonate
Dose,250 mg acetazolamide and 1 gm sodium bicarbonate
Frequency,3 times daily
Route,Oral
Comparator Name,N/A
Concomitant Medications Allowed?,Allopurinol (for uricosuria); D-penicillamine (in 1 case); antibacterials (when indicated)
Outcome A: Stone Recurrence / New Stone Formation (DICHOTOMOUS),N/A
Outcome Definition (verbatim or summary),Dissolution of uric acid stones
Method of Detection,Radiographic defects and cystoscopy
Timepoint Assessed,3 weeks to 5 months
Events (n) [Intervention],14
Total (N) [Intervention],14
Events (n) [Control],N/A
Total (N) [Control],N/A
Effect Measure Reported in Paper,NR
Time-to-Event Data Reported?,NR
Outcome B: Urinary Biochemistry (CONTINUOUS),N/A
Timepoint Assessed,8 to 24 years
Urine Calcium [Intervention],NR
Urine Calcium [Control],N/A
Urine Citrate [Intervention],NR
Urine Citrate [Control],N/A
Urine Oxalate [Intervention],NR
Urine Oxalate [Control],N/A
Urine Magnesium [Intervention],NR
Urine Magnesium [Control],N/A
Urine pH [Intervention],6.5 to 7.5
Urine pH [Control],N/A
Urine Phosphorus [Intervention],NR
Urine Phosphorus [Control],N/A
Variance Type Used,NR
Outcome C: ANIMAL-ONLY OUTCOMES,N/A
Kidney Calcium Content (Mean ± SD),N/A
Intervention,NR
Control,N/A
Crystal Deposit Score (Mean ± SD),N/A
Intervention,NR
Control,N/A
GI Symptoms (n per arm),NR
Withdrawals Due to Adverse Events (n per arm),1
Other Adverse Events (verbatim),Phosphatic precipitation (1 case)
Primary Timepoint Recommended for Pooling,NR
Outcome Suitable for Meta-analysis? (Yes / No),No
Data Requires Imputation for SD? (Yes / No / Not sure),No
Comments / Extraction Notes,"The study reports on 12 patients with uric acid stones, 2 with bladder calculi, and 6 with cystinuria. Total sample size is the sum of these described clinical groups."
