Data Field,Value
Study ID,Freiha 1976
Title,DISSOLUTION OF URIC ACID STONES Alternative to Surgery
First Author,Freiha
Year,1976
Journal,UROLOGY
Country,Lebanon
DOI / PMID / Trial Registry ID,NR
Funding Source,NR
Conflict of Interest Stated?,NR
Study Design,Case Report
Control Group Type,N/A
Blinding,N/A
Randomization Method,N/A
Allocation Concealment,N/A
Dietary Restrictions or Co-interventions?,NR
Duration of Treatment,3 days
Total Follow-up Duration,NR
Loss to Follow-up (n per arm if reported),0
Analysis Population Used,NR
Total Sample Size (Randomized),3
Sample Size Analyzed (Primary Outcome),3
Mean Age (± SD),67
Sex (% Female),NR
BMI (Mean ± SD),NR
Stone Type,Uric acid
History of Stones,NR
Baseline Stone Size or Burden (if reported),2 cm
Baseline Urinary Calcium (Mean ± SD, units),NR
Baseline Urinary pH (Mean ± SD),5.5
Species,N/A
Stone Induction Method,N/A
Arm ID,1
Intervention Name,Sodium bicarbonate (NaHCO3) solution
Dose,4 vials of 44 mEq NaHCO3 each to every liter of normal saline (pH 9)
Frequency,100 ml per hour
Route,Irrigation through ureteral catheter
Comparator Name,N/A
Concomitant Medications Allowed?,NR
Outcome A: Stone Recurrence / New Stone Formation (DICHOTOMOUS),N/A
Outcome Definition (verbatim or summary),Stone dissolution/disappearance
Method of Detection,Repeat pyelography through the ureteral catheter
Timepoint Assessed,3 days
Events (n) [Intervention],3
Total (N) [Intervention],3
Events (n) [Control],N/A
Total (N) [Control],N/A
Effect Measure Reported in Paper,Disappearance of stone on repeat pyelography
Time-to-Event Data Reported?,3 days
Outcome B: Urinary Biochemistry (CONTINUOUS),N/A
Timepoint Assessed,NR
Urine Calcium [Intervention],NR
Urine Calcium [Control],NR
Urine Citrate [Intervention],NR
Urine Citrate [Control],NR
Urine Oxalate [Intervention],NR
Urine Oxalate [Control],NR
Urine Magnesium [Intervention],NR
Urine Magnesium [Control],NR
Urine pH [Intervention],NR
Urine pH [Control],NR
Urine Phosphorus [Intervention],NR
Urine Phosphorus [Control],NR
Variance Type Used,NR
Outcome C: ANIMAL-ONLY OUTCOMES,N/A
Kidney Calcium Content (Mean ± SD),N/A
Intervention,NR
Control,NR
Crystal Deposit Score (Mean ± SD),N/A
Intervention,NR
Control,NR
GI Symptoms (n per arm),NR
Withdrawals Due to Adverse Events (n per arm),0
Other Adverse Events (verbatim),None reported. Patient tolerated irrigation well and serum electrolytes remained normal throughout irrigation.
Primary Timepoint Recommended for Pooling,3 days
Outcome Suitable for Meta-analysis? (Yes / No),No
Data Requires Imputation for SD? (Yes / No / Not sure),NR
Comments / Extraction Notes,"Case report detailing one primary patient and mentioning the successful employment of the method in two other patients. Weight of primary patient was 132 Kg, but height was not reported to calculate BMI."
