Data Field,Value
Study ID,Fukushima 1988
Title,Prevention of Uric Acid Stone Formation by Sodium Bicarbonate in an Ileostomy Patient -A Case Report-
First Author,Tsuneo Fukushima
Year,1988
Journal,Japanese Journal of Surgery
Country,Japan
DOI / PMID / Trial Registry ID,NR
Funding Source,NR
Conflict of Interest Stated?,NR
Study Design,Case Report
Control Group Type,Before-after (Self-control)
Blinding,NR
Randomization Method,N/A
Allocation Concealment,N/A
Dietary Restrictions or Co-interventions?,NR
Duration of Treatment,October 1985 to March 1987
Total Follow-up Duration,Approximately 1.5 years on treatment (8 years post-operative total history)
Loss to Follow-up (n per arm if reported),0
Analysis Population Used,Case study
Total Sample Size (Randomized),1
Sample Size Analyzed (Primary Outcome),1
Mean Age (± SD),38 year old
Sex (% Female),100%
BMI (Mean ± SD),NR
Stone Type,mainly composed of uric acid
History of Stones,8 year post-operatively... excreting innumerable renal stones
Baseline Stone Size or Burden (if reported),NR
Baseline Urinary Calcium (Mean ± SD, units),302.4 mg/day
Baseline Urinary pH (Mean ± SD),5.5
Species,N/A
Stone Induction Method,N/A
Arm ID,A
Intervention Name,Sodium bicarbonate (NaHCO3)
Dose,4 gm/day
Frequency,t.i.d.
Route,oral
Comparator Name,Baseline (Before treatment)
Concomitant Medications Allowed?,NR
Outcome A: Stone Recurrence / New Stone Formation (DICHOTOMOUS),N/A
Outcome Definition (verbatim or summary),renal stone excretion
Method of Detection,Patient clinical course observation
Timepoint Assessed,March 1987
Events (n) [Intervention],0
Total (N) [Intervention],1
Events (n) [Control],innumerable
Total (N) [Control],1
Effect Measure Reported in Paper,NR
Time-to-Event Data Reported?,NR
Outcome B: Urinary Biochemistry (CONTINUOUS),N/A
Timepoint Assessed,During NaHCO3 administration
Urine Calcium [Intervention],359.6 mg/day
Urine Calcium [Control],302.4 mg/day
Urine Citrate [Intervention],NR
Urine Citrate [Control],NR
Urine Oxalate [Intervention],NR
Urine Oxalate [Control],NR
Urine Magnesium [Intervention],62.0 mEq/day
Urine Magnesium [Control],75.7 mEq/day
Urine pH [Intervention],7.0
Urine pH [Control],5.5
Urine Phosphorus [Intervention],NR
Urine Phosphorus [Control],NR
Variance Type Used,NR
Outcome C: ANIMAL-ONLY OUTCOMES,N/A
Kidney Calcium Content (Mean ± SD),N/A
Intervention,NR
Control,NR
Crystal Deposit Score (Mean ± SD),N/A
Intervention,disappeared
Control,Numerous uric acid crystals in urinary sediments
GI Symptoms (n per arm),NR
Withdrawals Due to Adverse Events (n per arm),0
Other Adverse Events (verbatim),There were no side effects from the oral intake of sodium bicarbonate in this trial.
Primary Timepoint Recommended for Pooling,March 1987
Outcome Suitable for Meta-analysis? (Yes / No),No
Data Requires Imputation for SD? (Yes / No / Not sure),No
Comments / Extraction Notes,"The paper also mentions treating other ileostomy patients for more than 6 months without stone episodes, but provides detailed longitudinal data for only one case. Stone excretion briefly recurred when patient discontinued therapy for one week in July 1986."
