Data Field,Value
Study ID,Haddad 1986
Title,Silica Stones in Humans
First Author,Farid Sami Haddad
Year,1986
Journal,Urol. int.
Country,"Lebanon, Sweden, USA, South Africa, UK, Japan, Spain"
DOI / PMID / Trial Registry ID,NR
Funding Source,NR
Conflict of Interest Stated?,NR
Study Design,Literature review and case series
Control Group Type,N/A
Blinding,N/A
Randomization Method,N/A
Allocation Concealment,N/A
Dietary Restrictions or Co-interventions?,NR
Duration of Treatment,up to 40 years
Total Follow-up Duration,NR
Loss to Follow-up (n per arm if reported),NR
Analysis Population Used,Cases with sufficient data for analysis (authentic cases)
Total Sample Size (Randomized),20
Sample Size Analyzed (Primary Outcome),16
Mean Age (± SD),53.9 years
Sex (% Female),10%
BMI (Mean ± SD),NR
Stone Type,Silica (SiO2)
History of Stones,Almost all of the patients had been taking magnesium trisilicate for several years
Baseline Stone Size or Burden (if reported),2 mm to 3 cm
Baseline Urinary Calcium (Mean ± SD, units),NR
Baseline Urinary pH (Mean ± SD),5–6 and 7.5
Species,N/A
Stone Induction Method,N/A
Arm ID,A
Intervention Name,Magnesium trisilicate (antacid)
Dose,"Variable (e.g., 2 g/day; 14.8 kg over 3 years; 43.8 kg total)"
Frequency,NR
Route,Oral
Comparator Name,N/A
Concomitant Medications Allowed?,methyl polysiloxane
Outcome A: Stone Recurrence / New Stone Formation (DICHOTOMOUS),N/A
Outcome Definition (verbatim or summary),Presence of authentic silica stones
Method of Detection,"X-ray diffraction, infrared spectroscopy, photometric absorption, atomic absorption spectrometry, etc."
Timepoint Assessed,NR
Events (n) [Intervention],16
Total (N) [Intervention],20
Events (n) [Control],N/A
Total (N) [Control],N/A
Effect Measure Reported in Paper,NR
Time-to-Event Data Reported?,NR
Outcome B: Urinary Biochemistry (CONTINUOUS),N/A
Timepoint Assessed,NR
Urine Calcium [Intervention],NR
Urine Calcium [Control],N/A
Urine Citrate [Intervention],NR
Urine Citrate [Control],N/A
Urine Oxalate [Intervention],NR
Urine Oxalate [Control],N/A
Urine Magnesium [Intervention],NR
Urine Magnesium [Control],N/A
Urine pH [Intervention],5–6 and 7.5
Urine pH [Control],N/A
Urine Phosphorus [Intervention],NR
Urine Phosphorus [Control],N/A
Variance Type Used,NR
Outcome C: ANIMAL-ONLY OUTCOMES,N/A
Kidney Calcium Content (Mean ± SD),N/A
Intervention,NR
Control,N/A
Crystal Deposit Score (Mean ± SD),N/A
Intervention,NR
Control,N/A
GI Symptoms (n per arm),"Peptic condition, Gastric ulcer, Esophagitis, Gastritis, Hiatus hernia, Indigestion"
Withdrawals Due to Adverse Events (n per arm),NR
Other Adverse Events (verbatim),"Acute renal failure, hypermagnesemia, potential risk of esophageal cancer"
Primary Timepoint Recommended for Pooling,NR
Outcome Suitable for Meta-analysis? (Yes / No),No
Data Requires Imputation for SD? (Yes / No / Not sure),No
Comments / Extraction Notes,"This study is a systematic review and case series of 20 reported instances of silica urolithiasis in humans, identifying a strong association with long-term magnesium trisilicate antacid ingestion. The 10% female percentage is based on the 10 patients with recorded sex summarized in the abstract."
