Data Field,Value
Study ID,Ichiyanagi 1997
Title,Pure Silicate Fragment in a Recurrent Stone Former of Calcium Oxalate
First Author,Osamu Ichiyanagi
Year,1997
Journal,Urologia Internationalis
Country,Japan
DOI / PMID / Trial Registry ID,NR
Funding Source,NR
Conflict of Interest Stated?,NR
Study Design,Case Report
Control Group Type,N/A
Blinding,N/A
Randomization Method,N/A
Allocation Concealment,N/A
Dietary Restrictions or Co-interventions?,NR
Duration of Treatment,17 years
Total Follow-up Duration,6 months
Loss to Follow-up (n per arm if reported),NR
Analysis Population Used,NR
Total Sample Size (Randomized),1
Sample Size Analyzed (Primary Outcome),1
Mean Age (± SD),63-year-old
Sex (% Female),0%
BMI (Mean ± SD),NR
Stone Type,"Calcium oxalate monohydrate, calcium oxalate dihydrate, and silicate"
History of Stones,Recurrent stone former of calcium oxalate for about 20 years
Baseline Stone Size or Burden (if reported),NR
Baseline Urinary Calcium (Mean ± SD, units),NR
Baseline Urinary pH (Mean ± SD),5.0
Species,N/A
Stone Induction Method,N/A
Arm ID,A
Intervention Name,Magnesium aluminometasilicate antacid
Dose,"1,200 mg (approx 460 mg magnesium)"
Frequency,Daily
Route,Oral
Comparator Name,N/A
Concomitant Medications Allowed?,Triquizium bromide (anticholinergic agent)
Outcome A: Stone Recurrence / New Stone Formation (DICHOTOMOUS),N/A
Outcome Definition (verbatim or summary),Stone composition analysis
Method of Detection,"Infrared spectrophotometry, X-ray diffraction, and electron microprobe"
Timepoint Assessed,During/After ESWL treatment
Events (n) [Intervention],NR
Total (N) [Intervention],1
Events (n) [Control],N/A
Total (N) [Control],N/A
Effect Measure Reported in Paper,NR
Time-to-Event Data Reported?,NR
Outcome B: Urinary Biochemistry (CONTINUOUS),N/A
Timepoint Assessed,Baseline
Urine Calcium [Intervention],NR
Urine Calcium [Control],N/A
Urine Citrate [Intervention],NR
Urine Citrate [Control],N/A
Urine Oxalate [Intervention],NR
Urine Oxalate [Control],N/A
Urine Magnesium [Intervention],NR
Urine Magnesium [Control],N/A
Urine pH [Intervention],5.0
Urine pH [Control],N/A
Urine Phosphorus [Intervention],NR
Urine Phosphorus [Control],N/A
Variance Type Used,NR
Outcome C: ANIMAL-ONLY OUTCOMES,N/A
Kidney Calcium Content (Mean ± SD),N/A
Intervention,NR
Control,N/A
Crystal Deposit Score (Mean ± SD),N/A
Intervention,Silica deposits detected on fragments
Control,N/A
GI Symptoms (n per arm),Gastric ulcer (reason for antacid intake)
Withdrawals Due to Adverse Events (n per arm),NR
Other Adverse Events (verbatim),No complications due to ESWL treatment
Primary Timepoint Recommended for Pooling,After six ESWL sessions and 6 months follow-up
Outcome Suitable for Meta-analysis? (Yes / No),No
Data Requires Imputation for SD? (Yes / No / Not sure),No
Comments / Extraction Notes,The study reports a case where long-term intake of magnesium aluminometasilicate led to the formation of a pure silicate stone fragment alongside calcium oxalate stones.
