Data Field,Value
Study ID,Lagergren 1962
Title,DEVELOPMENT OF SILICA CALCULI AFTER ORAL ADMINISTRATION OF MAGNESIUM TRISILICATE
First Author,Curt Lagergren
Year,1962
Journal,The Journal of Urology
Country,Sweden
DOI / PMID / Trial Registry ID,NR
Funding Source,NR
Conflict of Interest Stated?,NR
Study Design,Case series
Control Group Type,N/A
Blinding,N/A
Randomization Method,N/A
Allocation Concealment,N/A
Dietary Restrictions or Co-interventions?,NR
Duration of Treatment,2-5 years
Total Follow-up Duration,NR
Loss to Follow-up (n per arm if reported),NR
Analysis Population Used,Patients with urinary tract calculi
Total Sample Size (Randomized),800
Sample Size Analyzed (Primary Outcome),800
Mean Age (± SD),NR
Sex (% Female),NR
BMI (Mean ± SD),NR
Stone Type,Silica
History of Stones,2 of the patients had previously had attacks of the renal calculus type during trisilicate therapy but no stone had been discovered
Baseline Stone Size or Burden (if reported),NR
Baseline Urinary Calcium (Mean ± SD, units),NR
Baseline Urinary pH (Mean ± SD),NR
Species,NR
Stone Induction Method,N/A
Arm ID,A
Intervention Name,Magnesium trisilicate
Dose,doses specified by the respective manufacturers
Frequency,regularly; in 2 cases daily
Route,oral (tablet form)
Comparator Name,N/A
Concomitant Medications Allowed?,NR
Outcome A: Stone Recurrence / New Stone Formation (DICHOTOMOUS),N/A
Outcome Definition (verbatim or summary),Development of silica calculi
Method of Detection,x-ray crystallographic analysis
Timepoint Assessed,2-5 years
Events (n) [Intervention],5
Total (N) [Intervention],5
Events (n) [Control],N/A
Total (N) [Control],N/A
Effect Measure Reported in Paper,NR
Time-to-Event Data Reported?,2-5 years
Outcome B: Urinary Biochemistry (CONTINUOUS),N/A
Timepoint Assessed,NR
Urine Calcium [Intervention],NR
Urine Calcium [Control],NR
Urine Citrate [Intervention],NR
Urine Citrate [Control],NR
Urine Oxalate [Intervention],NR
Urine Oxalate [Control],NR
Urine Magnesium [Intervention],NR
Urine Magnesium [Control],NR
Urine pH [Intervention],NR
Urine pH [Control],NR
Urine Phosphorus [Intervention],NR
Urine Phosphorus [Control],NR
Variance Type Used,NR
Outcome C: ANIMAL-ONLY OUTCOMES,N/A
Kidney Calcium Content (Mean ± SD),N/A
Intervention,NR
Control,NR
Crystal Deposit Score (Mean ± SD),N/A
Intervention,NR
Control,NR
GI Symptoms (n per arm),NR
Withdrawals Due to Adverse Events (n per arm),NR
Other Adverse Events (verbatim),NR
Primary Timepoint Recommended for Pooling,NR
Outcome Suitable for Meta-analysis? (Yes / No),No
Data Requires Imputation for SD? (Yes / No / Not sure),No
Comments / Extraction Notes,Retrospective identification of 5 cases of silica stones from a total of 800 patients analyzed for urinary tract calculi over a two-year period (1960-1961).
