Data Field,Value
Study ID,Lee 1993
Title,SILICA STONE—DEVELOPMENT DUE TO LONG TIME ORAL TRISILICATE INTAKE
First Author,Ming-Huei Lee
Year,1993
Journal,Scand J Urol Nephrol
Country,Taiwan
DOI / PMID / Trial Registry ID,NR
Funding Source,NR
Conflict of Interest Stated?,NR
Study Design,Case Report
Control Group Type,N/A
Blinding,N/A
Randomization Method,N/A
Allocation Concealment,N/A
Dietary Restrictions or Co-interventions?,NR
Duration of Treatment,NR
Total Follow-up Duration,NR
Loss to Follow-up (n per arm if reported),NR
Analysis Population Used,N/A
Total Sample Size (Randomized),1
Sample Size Analyzed (Primary Outcome),1
Mean Age (± SD),30-year-old
Sex (% Female),100%
BMI (Mean ± SD),NR
Stone Type,silicate stone
History of Stones,history of spontaneous passage of stones 7 years before
Baseline Stone Size or Burden (if reported),NR
Baseline Urinary Calcium (Mean ± SD, units),normal
Baseline Urinary pH (Mean ± SD),NR
Species,N/A
Stone Induction Method,N/A
Arm ID,A
Intervention Name,Discontinuation of trisilicate-containing antacid and double-J stent insertion
Dose,NR
Frequency,NR
Route,Oral (prior to discontinuation)
Comparator Name,N/A
Concomitant Medications Allowed?,analgesic injections
Outcome A: Stone Recurrence / New Stone Formation (DICHOTOMOUS),N/A
Outcome Definition (verbatim or summary),Relief of renal colic and frequency of stone passage
Method of Detection,Clinical observation
Timepoint Assessed,4 weeks
Events (n) [Intervention],NR
Total (N) [Intervention],1
Events (n) [Control],N/A
Total (N) [Control],N/A
Effect Measure Reported in Paper,NR
Time-to-Event Data Reported?,NR
Outcome B: Urinary Biochemistry (CONTINUOUS),N/A
Timepoint Assessed,Baseline
Urine Calcium [Intervention],normal
Urine Calcium [Control],N/A
Urine Citrate [Intervention],NR
Urine Citrate [Control],N/A
Urine Oxalate [Intervention],NR
Urine Oxalate [Control],N/A
Urine Magnesium [Intervention],normal
Urine Magnesium [Control],N/A
Urine pH [Intervention],NR
Urine pH [Control],N/A
Urine Phosphorus [Intervention],normal
Urine Phosphorus [Control],N/A
Variance Type Used,NR
Outcome C: ANIMAL-ONLY OUTCOMES,N/A
Kidney Calcium Content (Mean ± SD),N/A
Intervention,NR
Control,N/A
Crystal Deposit Score (Mean ± SD),N/A
Intervention,NR
Control,N/A
GI Symptoms (n per arm),gastric discomfort
Withdrawals Due to Adverse Events (n per arm),N/A
Other Adverse Events (verbatim),"renal colic, gross hematuria"
Primary Timepoint Recommended for Pooling,4 weeks
Outcome Suitable for Meta-analysis? (Yes / No),No
Data Requires Imputation for SD? (Yes / No / Not sure),No
Comments / Extraction Notes,The case report describes a 30-year-old female who developed silica stones after long-term intake of magnesium trisilicate for gastric discomfort. Diagnosis was confirmed by X-ray diffraction.
