Data Field,Value
Study ID,Liu 2025
Title,"Dietary baking soda (NaHCO3) therapy recovered urolithiasis-induced kidney injury in mice by inhibition of oxidative stress, pyroptosis, and inflammation through gut-kidney axis"
First Author,
Year,2025
Journal,
Country,
DOI / PMID / Trial Registry ID,
Funding Source,
Conflict of Interest Stated?,
Study Design,
Control Group Type,
Blinding,
Randomization Method,
Allocation Concealment,
Dietary Restrictions or Co-interventions?,
Duration of Treatment,
Total Follow-up Duration,
Loss to Follow-up (n per arm if reported),
Analysis Population Used,
Total Sample Size (Randomized),
Sample Size Analyzed (Primary Outcome),
Mean Age (± SD),
Sex (% Female),
BMI (Mean ± SD),
Stone Type,
History of Stones,
Baseline Stone Size or Burden (if reported),
Baseline Urinary Calcium (Mean ± SD, units),
Baseline Urinary pH (Mean ± SD),
Species,
Stone Induction Method,
Arm ID,A
Intervention Name,NR
Dose,NR
Frequency,NR
Route,NR
Comparator Name,NR
Concomitant Medications Allowed?,NR
Outcome A: Stone Recurrence / New Stone Formation (DICHOTOMOUS),N/A
Outcome Definition (verbatim or summary),NR
Method of Detection,NR
Timepoint Assessed,NR
Events (n) [Intervention],NR
Total (N) [Intervention],NR
Events (n) [Control],NR
Total (N) [Control],NR
Effect Measure Reported in Paper,NR
Time-to-Event Data Reported?,NR
Outcome B: Urinary Biochemistry (CONTINUOUS),N/A
Timepoint Assessed,NR
Urine Calcium [Intervention],NR
Urine Calcium [Control],NR
Urine Citrate [Intervention],NR
Urine Citrate [Control],NR
Urine Oxalate [Intervention],NR
Urine Oxalate [Control],NR
Urine Magnesium [Intervention],NR
Urine Magnesium [Control],NR
Urine pH [Intervention],NR
Urine pH [Control],NR
Urine Phosphorus [Intervention],NR
Urine Phosphorus [Control],NR
Variance Type Used,NR
Outcome C: ANIMAL-ONLY OUTCOMES,N/A
Kidney Calcium Content (Mean ± SD),N/A
Intervention,NR
Control,NR
Crystal Deposit Score (Mean ± SD),N/A
Intervention,NR
Control,NR
GI Symptoms (n per arm),
Withdrawals Due to Adverse Events (n per arm),
Other Adverse Events (verbatim),
Primary Timepoint Recommended for Pooling,
Outcome Suitable for Meta-analysis? (Yes / No),
Data Requires Imputation for SD? (Yes / No / Not sure),
Comments / Extraction Notes,
