Data Field,Value
Study ID,Ma 2023
Title,Efficacy for Bone Deterioration in Mice with Osteoporosis and Pharmaceutical Properties of a Novel Compound Calcium Carbonate Granule
First Author,Kun Ma
Year,2023
Journal,Journal of Food Biochemistry
Country,China
DOI / PMID / Trial Registry ID,10.1155/2023/5553926
Funding Source,NR
Conflict of Interest Stated?,The authors declare that they have no conflicts of interest.
Study Design,Animal Study
Control Group Type,Disease model (Retinoic acid) / Active comparator (CCD)
Blinding,NR
Randomization Method,randomly grouped
Allocation Concealment,NR
Dietary Restrictions or Co-interventions?,fed ad libitum with chow diet and water
Duration of Treatment,36 days
Total Follow-up Duration,36 days
Loss to Follow-up (n per arm if reported),NR
Analysis Population Used,NR
Total Sample Size (Randomized),52
Sample Size Analyzed (Primary Outcome),n=6 or 7 per group
Mean Age (± SD),11-week-old
Sex (% Female),100%
BMI (Mean ± SD),N/A
Stone Type,N/A
History of Stones,NR
Baseline Stone Size or Burden (if reported),N/A
Baseline Urinary Calcium (Mean ± SD, units),NR
Baseline Urinary pH (Mean ± SD),NR
Species,BALB/c mice
Stone Induction Method,N/A
Arm ID,1
Intervention Name,Compound calcium carbonate granule (CCCG-H)
Dose,1.36 g/kg/d
Frequency,Daily
Route,Oral gavage
Comparator Name,Model (Retinoic acid)
Concomitant Medications Allowed?,NR
Outcome A: Stone Recurrence / New Stone Formation (DICHOTOMOUS),N/A
Outcome Definition (verbatim or summary),NR
Method of Detection,NR
Timepoint Assessed,NR
Events (n) [Intervention],NR
Total (N) [Intervention],NR
Events (n) [Control],NR
Total (N) [Control],NR
Effect Measure Reported in Paper,NR
Time-to-Event Data Reported?,NR
Outcome B: Urinary Biochemistry (CONTINUOUS),N/A
Timepoint Assessed,36 days
Urine Calcium [Intervention],NR
Urine Calcium [Control],NR
Urine Citrate [Intervention],NR
Urine Citrate [Control],NR
Urine Oxalate [Intervention],NR
Urine Oxalate [Control],NR
Urine Magnesium [Intervention],NR
Urine Magnesium [Control],NR
Urine pH [Intervention],6.86 ± 0.21
Urine pH [Control],5.82 ± 0.21
Urine Phosphorus [Intervention],NR
Urine Phosphorus [Control],NR
Variance Type Used,SEM
Outcome C: ANIMAL-ONLY OUTCOMES,N/A
Kidney Calcium Content (Mean ± SD),N/A
Intervention,NR
Control,NR
Crystal Deposit Score (Mean ± SD),N/A
Intervention,NR
Control,NR
GI Symptoms (n per arm),NR
Withdrawals Due to Adverse Events (n per arm),NR
Other Adverse Events (verbatim),NR
Primary Timepoint Recommended for Pooling,36 days
Outcome Suitable for Meta-analysis? (Yes / No),N/A
Data Requires Imputation for SD? (Yes / No / Not sure),NR
Comments / Extraction Notes,NR
Study ID,Ma 2023
Title,Efficacy for Bone Deterioration in Mice with Osteoporosis and Pharmaceutical Properties of a Novel Compound Calcium Carbonate Granule
First Author,Kun Ma
Year,2023
Journal,Journal of Food Biochemistry
Country,China
DOI / PMID / Trial Registry ID,10.1155/2023/5553926
Funding Source,NR
Conflict of Interest Stated?,The authors declare that they have no conflicts of interest.
Study Design,Animal Study
Control Group Type,Disease model (Retinoic acid) / Active comparator (CCD)
Blinding,NR
Randomization Method,randomly grouped
Allocation Concealment,NR
Dietary Restrictions or Co-interventions?,fed ad libitum with chow diet and water
Duration of Treatment,36 days
Total Follow-up Duration,36 days
Loss to Follow-up (n per arm if reported),NR
Analysis Population Used,NR
Total Sample Size (Randomized),52
Sample Size Analyzed (Primary Outcome),n=6 or 7 per group
Mean Age (± SD),11-week-old
Sex (% Female),100%
BMI (Mean ± SD),N/A
Stone Type,N/A
History of Stones,NR
Baseline Stone Size or Burden (if reported),N/A
Baseline Urinary Calcium (Mean ± SD, units),NR
Baseline Urinary pH (Mean ± SD),NR
Species,BALB/c mice
Stone Induction Method,N/A
Arm ID,2
Intervention Name,Compound calcium carbonate granule (CCCG-H)
Dose,CCCG-H: 1.36 g/kg/d; CCD: 0.9 g/kg/d
Frequency,Daily
Route,Oral gavage
Comparator Name,Calcium carbonate with vitamin D (CCD)
Concomitant Medications Allowed?,NR
Outcome A: Stone Recurrence / New Stone Formation (DICHOTOMOUS),N/A
Outcome Definition (verbatim or summary),NR
Method of Detection,NR
Timepoint Assessed,NR
Events (n) [Intervention],NR
Total (N) [Intervention],NR
Events (n) [Control],NR
Total (N) [Control],NR
Effect Measure Reported in Paper,NR
Time-to-Event Data Reported?,NR
Outcome B: Urinary Biochemistry (CONTINUOUS),N/A
Timepoint Assessed,36 days
Urine Calcium [Intervention],2.27 ± 0.48 mg/L
Urine Calcium [Control],5.48 ± 0.87 mg/L
Urine Citrate [Intervention],NR
Urine Citrate [Control],NR
Urine Oxalate [Intervention],NR
Urine Oxalate [Control],NR
Urine Magnesium [Intervention],NR
Urine Magnesium [Control],NR
Urine pH [Intervention],NR
Urine pH [Control],NR
Urine Phosphorus [Intervention],NR
Urine Phosphorus [Control],NR
Variance Type Used,SEM
Outcome C: ANIMAL-ONLY OUTCOMES,N/A
Kidney Calcium Content (Mean ± SD),N/A
Intervention,NR
Control,NR
Crystal Deposit Score (Mean ± SD),N/A
Intervention,NR
Control,NR
GI Symptoms (n per arm),NR
Withdrawals Due to Adverse Events (n per arm),NR
Other Adverse Events (verbatim),NR
Primary Timepoint Recommended for Pooling,36 days
Outcome Suitable for Meta-analysis? (Yes / No),N/A
Data Requires Imputation for SD? (Yes / No / Not sure),NR
Comments / Extraction Notes,NR
