Data Field,Value
Study ID,Marshall 1952
Title,ALUMINUM GELS WITH CONSTANT PHOSPHORUS INTAKE FOR THE CONTROL OF RENAL PHOSPHATIC CALCULI
First Author,Victor F. Marshall
Year,1952
Journal,THE JOURNAL OF UROLOGY
Country,USA
DOI / PMID / Trial Registry ID,NR
Funding Source,"Much of the amphojel (aluminum hydroxide gel, alumina gel) and basaljel (basic aluminum carbonate gel) used in this study were generously supplied by Wyeth Incorporated."
Conflict of Interest Stated?,NR
Study Design,retrospective clinical review / before-and-after study
Control Group Type,historical control / self-controlled
Blinding,NR
Randomization Method,N/A
Allocation Concealment,NR
Dietary Restrictions or Co-interventions?,diet supplying approximately 1300 mg. of phosphorus and 700 mg. of calcium per day. Each was urged to maintain a daily fluid intake of approximately 3000 cc.
Duration of Treatment,average 49 months
Total Follow-up Duration,average 49 months
Loss to Follow-up (n per arm if reported),NR
Analysis Population Used,NR
Total Sample Size (Randomized),37
Sample Size Analyzed (Primary Outcome),37
Mean Age (± SD),NR
Sex (% Female),40.5%
BMI (Mean ± SD),NR
Stone Type,renal phosphatic calculi
History of Stones,marked tendency to formation of renal phosphatic calculi
Baseline Stone Size or Burden (if reported),NR
Baseline Urinary Calcium (Mean ± SD, units),NR
Baseline Urinary pH (Mean ± SD),NR
Species,N/A
Stone Induction Method,N/A
Arm ID,A
Intervention Name,NR
Dose,NR
Frequency,NR
Route,NR
Comparator Name,NR
Concomitant Medications Allowed?,NR
Outcome A: Stone Recurrence / New Stone Formation (DICHOTOMOUS),N/A
Outcome Definition (verbatim or summary),NR
Method of Detection,NR
Timepoint Assessed,NR
Events (n) [Intervention],NR
Total (N) [Intervention],NR
Events (n) [Control],NR
Total (N) [Control],NR
Effect Measure Reported in Paper,NR
Time-to-Event Data Reported?,NR
Outcome B: Urinary Biochemistry (CONTINUOUS),N/A
Timepoint Assessed,NR
Urine Calcium [Intervention],NR
Urine Calcium [Control],NR
Urine Citrate [Intervention],NR
Urine Citrate [Control],NR
Urine Oxalate [Intervention],NR
Urine Oxalate [Control],NR
Urine Magnesium [Intervention],NR
Urine Magnesium [Control],NR
Urine pH [Intervention],NR
Urine pH [Control],NR
Urine Phosphorus [Intervention],NR
Urine Phosphorus [Control],NR
Variance Type Used,NR
Outcome C: ANIMAL-ONLY OUTCOMES,N/A
Kidney Calcium Content (Mean ± SD),N/A
Intervention,NR
Control,NR
Crystal Deposit Score (Mean ± SD),N/A
Intervention,NR
Control,NR
GI Symptoms (n per arm),constipation
Withdrawals Due to Adverse Events (n per arm),a few
Other Adverse Events (verbatim),constipation
Primary Timepoint Recommended for Pooling,average of 49 months
Outcome Suitable for Meta-analysis? (Yes / No),NR
Data Requires Imputation for SD? (Yes / No / Not sure),NR
Comments / Extraction Notes,Before-and-after study using patients' own pre-treatment history as control.
