Data Field,Value
Study ID,May 2005
Title,Silikathaltige Harnsteine im Klinikalltag. Was gibt es zu beachten?
First Author,M. May
Year,2005
Journal,Der Urologe [A]
Country,Germany
DOI / PMID / Trial Registry ID,10.1007/s00120-004-0730-3
Funding Source,NR
Conflict of Interest Stated?,None declared
Study Design,Case report
Control Group Type,N/A
Blinding,N/A
Randomization Method,N/A
Allocation Concealment,N/A
Dietary Restrictions or Co-interventions?,NR
Duration of Treatment,N/A
Total Follow-up Duration,6 months
Loss to Follow-up (n per arm if reported),0
Analysis Population Used,N/A
Total Sample Size (Randomized),1
Sample Size Analyzed (Primary Outcome),1
Mean Age (± SD),54
Sex (% Female),0
BMI (Mean ± SD),NR
Stone Type,"Compound stone (60% whewellite, 40% silicate)"
History of Stones,Yes (frequent spontaneous stone passages in the last 10 years)
Baseline Stone Size or Burden (if reported),5 mm
Baseline Urinary Calcium (Mean ± SD, units),NR
Baseline Urinary pH (Mean ± SD),7
Species,N/A
Stone Induction Method,N/A
Arm ID,Case Report
Intervention Name,Ureterorenoscopy (URS) with forceps extraction
Dose,N/A
Frequency,N/A
Route,N/A
Comparator Name,N/A
Concomitant Medications Allowed?,"Pentalong (Pentaerythrityltetranitrat), Simagel (Almasilat)"
Outcome A: Stone Recurrence / New Stone Formation (DICHOTOMOUS),N/A
Outcome Definition (verbatim or summary),NR
Method of Detection,NR
Timepoint Assessed,NR
Events (n) [Intervention],NR
Total (N) [Intervention],NR
Events (n) [Control],NR
Total (N) [Control],NR
Effect Measure Reported in Paper,NR
Time-to-Event Data Reported?,NR
Outcome B: Urinary Biochemistry (CONTINUOUS),N/A
Timepoint Assessed,NR
Urine Calcium [Intervention],NR
Urine Calcium [Control],NR
Urine Citrate [Intervention],NR
Urine Citrate [Control],NR
Urine Oxalate [Intervention],NR
Urine Oxalate [Control],NR
Urine Magnesium [Intervention],NR
Urine Magnesium [Control],NR
Urine pH [Intervention],NR
Urine pH [Control],NR
Urine Phosphorus [Intervention],NR
Urine Phosphorus [Control],NR
Variance Type Used,NR
Outcome C: ANIMAL-ONLY OUTCOMES,N/A
Kidney Calcium Content (Mean ± SD),N/A
Intervention,NR
Control,NR
Crystal Deposit Score (Mean ± SD),N/A
Intervention,NR
Control,NR
GI Symptoms (n per arm),NR
Withdrawals Due to Adverse Events (n per arm),0
Other Adverse Events (verbatim),NR
Primary Timepoint Recommended for Pooling,6 months
Outcome Suitable for Meta-analysis? (Yes / No),No
Data Requires Imputation for SD? (Yes / No / Not sure),N/A
Comments / Extraction Notes,Case report of a 54-year-old man with a 40% silicate and 60% whewellite compound stone.
