Data Field,Value
Study ID,Ogawa 1986
Title,"EFFECTS OF PYRUVATE SALTS, PYRUVIC ACID, AND BICARBONATE SALTS IN PREVENTING EXPERIMENTAL OXALATE UROLITHIASIS IN RATS"
First Author,Yoshihide Ogawa
Year,1986
Journal,THE JOURNAL OF UROLOGY
Country,Japan
DOI / PMID / Trial Registry ID,NR
Funding Source,NR
Conflict of Interest Stated?,NR
Study Design,Experimental animal study
Control Group Type,Active control
Blinding,NR
Randomization Method,randomly divided
Allocation Concealment,NR
Dietary Restrictions or Co-interventions?,"All the diets were fed in powder form, and the rats were allowed tap water ad libitum."
Duration of Treatment,4 weeks
Total Follow-up Duration,4 weeks
Loss to Follow-up (n per arm if reported),NR
Analysis Population Used,NR
Total Sample Size (Randomized),33
Sample Size Analyzed (Primary Outcome),33
Mean Age (± SD),NR
Sex (% Female),0%
BMI (Mean ± SD),N/A
Stone Type,Calcium oxalate
History of Stones,N/A
Baseline Stone Size or Burden (if reported),N/A
Baseline Urinary Calcium (Mean ± SD, units),NR
Baseline Urinary pH (Mean ± SD),NR
Species,Male Wistar-strain rats
Stone Induction Method,Calcium-oxalate lithogenic diet (a glycolic-acid diet) containing 3% glycolic acid
Arm ID,1
Intervention Name,Sodium pyruvate
Dose,5%
Frequency,Ad libitum
Route,Oral (diet)
Comparator Name,Glycolic acid (GC) diet
Concomitant Medications Allowed?,NR
Outcome A: Stone Recurrence / New Stone Formation (DICHOTOMOUS),N/A
Outcome Definition (verbatim or summary),NR
Method of Detection,NR
Timepoint Assessed,4 weeks
Events (n) [Intervention],NR
Total (N) [Intervention],5
Events (n) [Control],NR
Total (N) [Control],6
Effect Measure Reported in Paper,NR
Time-to-Event Data Reported?,NR
Outcome B: Urinary Biochemistry (CONTINUOUS),N/A
Timepoint Assessed,4 weeks
Urine Calcium [Intervention],NR
Urine Calcium [Control],NR
Urine Citrate [Intervention],NR
Urine Citrate [Control],NR
Urine Oxalate [Intervention],NR
Urine Oxalate [Control],NR
Urine Magnesium [Intervention],NR
Urine Magnesium [Control],NR
Urine pH [Intervention],NR
Urine pH [Control],NR
Urine Phosphorus [Intervention],NR
Urine Phosphorus [Control],NR
Variance Type Used,NR
Outcome C: ANIMAL-ONLY OUTCOMES,N/A
Kidney Calcium Content (Mean ± SD),N/A
Intervention,NR
Control,NR
Crystal Deposit Score (Mean ± SD),N/A
Intervention,almost no gross calculi
Control,heavy calculi deposits in all six rats
GI Symptoms (n per arm),NR
Withdrawals Due to Adverse Events (n per arm),NR
Other Adverse Events (verbatim),NR
Primary Timepoint Recommended for Pooling,4 weeks
Outcome Suitable for Meta-analysis? (Yes / No),NR
Data Requires Imputation for SD? (Yes / No / Not sure),NR
Comments / Extraction Notes,"Body-weight gain was significantly increased in the pyruvate and bicarbonate groups compared to the glycolic-acid group, except for pyruvic acid which was similar to control."
Study ID,Ogawa 1986
Title,"EFFECTS OF PYRUVATE SALTS, PYRUVIC ACID, AND BICARBONATE SALTS IN PREVENTING EXPERIMENTAL OXALATE UROLITHIASIS IN RATS"
First Author,Yoshihide Ogawa
Year,1986
Journal,THE JOURNAL OF UROLOGY
Country,Japan
DOI / PMID / Trial Registry ID,NR
Funding Source,NR
Conflict of Interest Stated?,NR
Study Design,Experimental animal study
Control Group Type,Active control
Blinding,NR
Randomization Method,randomly divided
Allocation Concealment,NR
Dietary Restrictions or Co-interventions?,"All the diets were fed in powder form, and the rats were allowed tap water ad libitum."
Duration of Treatment,4 weeks
Total Follow-up Duration,4 weeks
Loss to Follow-up (n per arm if reported),NR
Analysis Population Used,NR
Total Sample Size (Randomized),33
Sample Size Analyzed (Primary Outcome),33
Mean Age (± SD),NR
Sex (% Female),0%
BMI (Mean ± SD),N/A
Stone Type,Calcium oxalate
History of Stones,N/A
Baseline Stone Size or Burden (if reported),N/A
Baseline Urinary Calcium (Mean ± SD, units),NR
Baseline Urinary pH (Mean ± SD),NR
Species,Male Wistar-strain rats
Stone Induction Method,Calcium-oxalate lithogenic diet (a glycolic-acid diet) containing 3% glycolic acid
Arm ID,2
Intervention Name,Potassium pyruvate
Dose,Equimolar to 5% sodium pyruvate
Frequency,Ad libitum
Route,Oral (diet)
Comparator Name,Glycolic acid (GC) diet
Concomitant Medications Allowed?,NR
Outcome A: Stone Recurrence / New Stone Formation (DICHOTOMOUS),N/A
Outcome Definition (verbatim or summary),NR
Method of Detection,NR
Timepoint Assessed,4 weeks
Events (n) [Intervention],NR
Total (N) [Intervention],5
Events (n) [Control],NR
Total (N) [Control],6
Effect Measure Reported in Paper,NR
Time-to-Event Data Reported?,NR
Outcome B: Urinary Biochemistry (CONTINUOUS),N/A
Timepoint Assessed,4 weeks
Urine Calcium [Intervention],NR
Urine Calcium [Control],NR
Urine Citrate [Intervention],NR
Urine Citrate [Control],NR
Urine Oxalate [Intervention],NR
Urine Oxalate [Control],NR
Urine Magnesium [Intervention],NR
Urine Magnesium [Control],NR
Urine pH [Intervention],NR
Urine pH [Control],NR
Urine Phosphorus [Intervention],NR
Urine Phosphorus [Control],NR
Variance Type Used,NR
Outcome C: ANIMAL-ONLY OUTCOMES,N/A
Kidney Calcium Content (Mean ± SD),N/A
Intervention,NR
Control,NR
Crystal Deposit Score (Mean ± SD),N/A
Intervention,almost no gross calculi
Control,heavy calculi deposits in all six rats
GI Symptoms (n per arm),NR
Withdrawals Due to Adverse Events (n per arm),NR
Other Adverse Events (verbatim),NR
Primary Timepoint Recommended for Pooling,4 weeks
Outcome Suitable for Meta-analysis? (Yes / No),NR
Data Requires Imputation for SD? (Yes / No / Not sure),NR
Comments / Extraction Notes,"Body-weight gain was significantly increased in the pyruvate and bicarbonate groups compared to the glycolic-acid group, except for pyruvic acid which was similar to control."
Study ID,Ogawa 1986
Title,"EFFECTS OF PYRUVATE SALTS, PYRUVIC ACID, AND BICARBONATE SALTS IN PREVENTING EXPERIMENTAL OXALATE UROLITHIASIS IN RATS"
First Author,Yoshihide Ogawa
Year,1986
Journal,THE JOURNAL OF UROLOGY
Country,Japan
DOI / PMID / Trial Registry ID,NR
Funding Source,NR
Conflict of Interest Stated?,NR
Study Design,Experimental animal study
Control Group Type,Active control
Blinding,NR
Randomization Method,randomly divided
Allocation Concealment,NR
Dietary Restrictions or Co-interventions?,"All the diets were fed in powder form, and the rats were allowed tap water ad libitum."
Duration of Treatment,4 weeks
Total Follow-up Duration,4 weeks
Loss to Follow-up (n per arm if reported),NR
Analysis Population Used,NR
Total Sample Size (Randomized),33
Sample Size Analyzed (Primary Outcome),33
Mean Age (± SD),NR
Sex (% Female),0%
BMI (Mean ± SD),N/A
Stone Type,Calcium oxalate
History of Stones,N/A
Baseline Stone Size or Burden (if reported),N/A
Baseline Urinary Calcium (Mean ± SD, units),NR
Baseline Urinary pH (Mean ± SD),NR
Species,Male Wistar-strain rats
Stone Induction Method,Calcium-oxalate lithogenic diet (a glycolic-acid diet) containing 3% glycolic acid
Arm ID,3
Intervention Name,Pyruvic acid
Dose,Equimolar to 5% sodium pyruvate
Frequency,Ad libitum
Route,Oral (diet)
Comparator Name,Glycolic acid (GC) diet
Concomitant Medications Allowed?,NR
Outcome A: Stone Recurrence / New Stone Formation (DICHOTOMOUS),N/A
Outcome Definition (verbatim or summary),NR
Method of Detection,NR
Timepoint Assessed,4 weeks
Events (n) [Intervention],NR
Total (N) [Intervention],6
Events (n) [Control],NR
Total (N) [Control],6
Effect Measure Reported in Paper,NR
Time-to-Event Data Reported?,NR
Outcome B: Urinary Biochemistry (CONTINUOUS),N/A
Timepoint Assessed,4 weeks
Urine Calcium [Intervention],NR
Urine Calcium [Control],NR
Urine Citrate [Intervention],NR
Urine Citrate [Control],NR
Urine Oxalate [Intervention],NR
Urine Oxalate [Control],NR
Urine Magnesium [Intervention],NR
Urine Magnesium [Control],NR
Urine pH [Intervention],NR
Urine pH [Control],NR
Urine Phosphorus [Intervention],NR
Urine Phosphorus [Control],NR
Variance Type Used,NR
Outcome C: ANIMAL-ONLY OUTCOMES,N/A
Kidney Calcium Content (Mean ± SD),N/A
Intervention,NR
Control,NR
Crystal Deposit Score (Mean ± SD),N/A
Intervention,marked calculi deposits
Control,heavy calculi deposits in all six rats
GI Symptoms (n per arm),NR
Withdrawals Due to Adverse Events (n per arm),NR
Other Adverse Events (verbatim),NR
Primary Timepoint Recommended for Pooling,4 weeks
Outcome Suitable for Meta-analysis? (Yes / No),NR
Data Requires Imputation for SD? (Yes / No / Not sure),NR
Comments / Extraction Notes,"Body-weight gain was significantly increased in the pyruvate and bicarbonate groups compared to the glycolic-acid group, except for pyruvic acid which was similar to control."
Study ID,Ogawa 1986
Title,"EFFECTS OF PYRUVATE SALTS, PYRUVIC ACID, AND BICARBONATE SALTS IN PREVENTING EXPERIMENTAL OXALATE UROLITHIASIS IN RATS"
First Author,Yoshihide Ogawa
Year,1986
Journal,THE JOURNAL OF UROLOGY
Country,Japan
DOI / PMID / Trial Registry ID,NR
Funding Source,NR
Conflict of Interest Stated?,NR
Study Design,Experimental animal study
Control Group Type,Active control
Blinding,NR
Randomization Method,randomly divided
Allocation Concealment,NR
Dietary Restrictions or Co-interventions?,"All the diets were fed in powder form, and the rats were allowed tap water ad libitum."
Duration of Treatment,4 weeks
Total Follow-up Duration,4 weeks
Loss to Follow-up (n per arm if reported),NR
Analysis Population Used,NR
Total Sample Size (Randomized),33
Sample Size Analyzed (Primary Outcome),33
Mean Age (± SD),NR
Sex (% Female),0%
BMI (Mean ± SD),N/A
Stone Type,Calcium oxalate
History of Stones,N/A
Baseline Stone Size or Burden (if reported),N/A
Baseline Urinary Calcium (Mean ± SD, units),NR
Baseline Urinary pH (Mean ± SD),NR
Species,Male Wistar-strain rats
Stone Induction Method,Calcium-oxalate lithogenic diet (a glycolic-acid diet) containing 3% glycolic acid
Arm ID,4
Intervention Name,Sodium bicarbonate
Dose,Equimolar to 5% sodium pyruvate
Frequency,Ad libitum
Route,Oral (diet)
Comparator Name,Glycolic acid (GC) diet
Concomitant Medications Allowed?,NR
Outcome A: Stone Recurrence / New Stone Formation (DICHOTOMOUS),N/A
Outcome Definition (verbatim or summary),NR
Method of Detection,NR
Timepoint Assessed,4 weeks
Events (n) [Intervention],NR
Total (N) [Intervention],5
Events (n) [Control],NR
Total (N) [Control],6
Effect Measure Reported in Paper,NR
Time-to-Event Data Reported?,NR
Outcome B: Urinary Biochemistry (CONTINUOUS),N/A
Timepoint Assessed,4 weeks
Urine Calcium [Intervention],NR
Urine Calcium [Control],NR
Urine Citrate [Intervention],NR
Urine Citrate [Control],NR
Urine Oxalate [Intervention],NR
Urine Oxalate [Control],NR
Urine Magnesium [Intervention],NR
Urine Magnesium [Control],NR
Urine pH [Intervention],NR
Urine pH [Control],NR
Urine Phosphorus [Intervention],NR
Urine Phosphorus [Control],NR
Variance Type Used,NR
Outcome C: ANIMAL-ONLY OUTCOMES,N/A
Kidney Calcium Content (Mean ± SD),N/A
Intervention,NR
Control,NR
Crystal Deposit Score (Mean ± SD),N/A
Intervention,a few gross calculi
Control,heavy calculi deposits in all six rats
GI Symptoms (n per arm),NR
Withdrawals Due to Adverse Events (n per arm),NR
Other Adverse Events (verbatim),NR
Primary Timepoint Recommended for Pooling,4 weeks
Outcome Suitable for Meta-analysis? (Yes / No),NR
Data Requires Imputation for SD? (Yes / No / Not sure),NR
Comments / Extraction Notes,"Body-weight gain was significantly increased in the pyruvate and bicarbonate groups compared to the glycolic-acid group, except for pyruvic acid which was similar to control."
Study ID,Ogawa 1986
Title,"EFFECTS OF PYRUVATE SALTS, PYRUVIC ACID, AND BICARBONATE SALTS IN PREVENTING EXPERIMENTAL OXALATE UROLITHIASIS IN RATS"
First Author,Yoshihide Ogawa
Year,1986
Journal,THE JOURNAL OF UROLOGY
Country,Japan
DOI / PMID / Trial Registry ID,NR
Funding Source,NR
Conflict of Interest Stated?,NR
Study Design,Experimental animal study
Control Group Type,Active control
Blinding,NR
Randomization Method,randomly divided
Allocation Concealment,NR
Dietary Restrictions or Co-interventions?,"All the diets were fed in powder form, and the rats were allowed tap water ad libitum."
Duration of Treatment,4 weeks
Total Follow-up Duration,4 weeks
Loss to Follow-up (n per arm if reported),NR
Analysis Population Used,NR
Total Sample Size (Randomized),33
Sample Size Analyzed (Primary Outcome),33
Mean Age (± SD),NR
Sex (% Female),0%
BMI (Mean ± SD),N/A
Stone Type,Calcium oxalate
History of Stones,N/A
Baseline Stone Size or Burden (if reported),N/A
Baseline Urinary Calcium (Mean ± SD, units),NR
Baseline Urinary pH (Mean ± SD),NR
Species,Male Wistar-strain rats
Stone Induction Method,Calcium-oxalate lithogenic diet (a glycolic-acid diet) containing 3% glycolic acid
Arm ID,5
Intervention Name,Potassium bicarbonate
Dose,Equimolar to 5% sodium pyruvate
Frequency,Ad libitum
Route,Oral (diet)
Comparator Name,Glycolic acid (GC) diet
Concomitant Medications Allowed?,NR
Outcome A: Stone Recurrence / New Stone Formation (DICHOTOMOUS),N/A
Outcome Definition (verbatim or summary),NR
Method of Detection,NR
Timepoint Assessed,4 weeks
Events (n) [Intervention],NR
Total (N) [Intervention],6
Events (n) [Control],NR
Total (N) [Control],6
Effect Measure Reported in Paper,NR
Time-to-Event Data Reported?,NR
Outcome B: Urinary Biochemistry (CONTINUOUS),N/A
Timepoint Assessed,4 weeks
Urine Calcium [Intervention],NR
Urine Calcium [Control],NR
Urine Citrate [Intervention],NR
Urine Citrate [Control],NR
Urine Oxalate [Intervention],NR
Urine Oxalate [Control],NR
Urine Magnesium [Intervention],NR
Urine Magnesium [Control],NR
Urine pH [Intervention],NR
Urine pH [Control],NR
Urine Phosphorus [Intervention],NR
Urine Phosphorus [Control],NR
Variance Type Used,NR
Outcome C: ANIMAL-ONLY OUTCOMES,N/A
Kidney Calcium Content (Mean ± SD),N/A
Intervention,NR
Control,NR
Crystal Deposit Score (Mean ± SD),N/A
Intervention,a few gross calculi
Control,heavy calculi deposits in all six rats
GI Symptoms (n per arm),NR
Withdrawals Due to Adverse Events (n per arm),NR
Other Adverse Events (verbatim),NR
Primary Timepoint Recommended for Pooling,4 weeks
Outcome Suitable for Meta-analysis? (Yes / No),NR
Data Requires Imputation for SD? (Yes / No / Not sure),NR
Comments / Extraction Notes,"Body-weight gain was significantly increased in the pyruvate and bicarbonate groups compared to the glycolic-acid group, except for pyruvic acid which was similar to control."
