Data Field,Value
Study ID,Pyrah NR
Title,THE USE OF ALUMINIUM HYDROXIDE TO PREVENT RECURRENT RENAL CALCULI
First Author,Pyrah
Year,NR
Journal,BRITISH JOURNAL OF UROLOGY
Country,UK
DOI / PMID / Trial Registry ID,NR
Funding Source,"Messrs Hough, Hoseason & Co. Ltd. (generous help with the manufacture and supply of Hyalgel)"
Conflict of Interest Stated?,NR
Study Design,Case series
Control Group Type,Baseline
Blinding,NR
Randomization Method,NR
Allocation Concealment,NR
Dietary Restrictions or Co-interventions?,"Out-patients: without dietary control. In-patients: fixed phosphorus diet (1,000 mg to 1,600 mg per day)."
Duration of Treatment,1 to 20 months (average 11 months)
Total Follow-up Duration,1 to 20 months (average 11 months)
Loss to Follow-up (n per arm if reported),NR
Analysis Population Used,NR
Total Sample Size (Randomized),30
Sample Size Analyzed (Primary Outcome),30
Mean Age (± SD),NR
Sex (% Female),NR
BMI (Mean ± SD),NR
Stone Type,Phosphatic
History of Stones,All had had renal stones at some time. Before treatment these twenty-seven patients had undergone sixty-one operations for stone and had also voided another thirty-nine stones.
Baseline Stone Size or Burden (if reported),NR
Baseline Urinary Calcium (Mean ± SD, units),NR
Baseline Urinary pH (Mean ± SD),NR
Species,N/A
Stone Induction Method,N/A
Arm ID,1
Intervention Name,"Aluminium hydroxide preparations (Aludrox tablets, Aludrox medicine, or Hyalgel)"
Dose,"Various (e.g., 120 ml/day or 8 to 16 tablets/day)"
Frequency,"Various (e.g., daily, or four times daily with meals)"
Route,Oral
Comparator Name,Baseline
Concomitant Medications Allowed?,NR
Outcome A: Stone Recurrence / New Stone Formation (DICHOTOMOUS),N/A
Outcome Definition (verbatim or summary),Appearance of new stones
Method of Detection,Radiological (straight X-rays with intravenous pyelograms when necessary)
Timepoint Assessed,Average 11 months
Events (n) [Intervention],0
Total (N) [Intervention],26
Events (n) [Control],NR
Total (N) [Control],NR
Effect Measure Reported in Paper,Number of kidneys remaining stone-free
Time-to-Event Data Reported?,NR
Outcome B: Urinary Biochemistry (CONTINUOUS),N/A
Timepoint Assessed,NR
Urine Calcium [Intervention],NR
Urine Calcium [Control],NR
Urine Citrate [Intervention],NR
Urine Citrate [Control],NR
Urine Oxalate [Intervention],NR
Urine Oxalate [Control],NR
Urine Magnesium [Intervention],NR
Urine Magnesium [Control],NR
Urine pH [Intervention],NR
Urine pH [Control],NR
Urine Phosphorus [Intervention],NR
Urine Phosphorus [Control],NR
Variance Type Used,NR
Outcome C: ANIMAL-ONLY OUTCOMES,N/A
Kidney Calcium Content (Mean ± SD),N/A
Intervention,NR
Control,NR
Crystal Deposit Score (Mean ± SD),N/A
Intervention,NR
Control,NR
GI Symptoms (n per arm),Occasional patient complaining at first of a little nausea or constipation which soon disappeared
Withdrawals Due to Adverse Events (n per arm),NR
Other Adverse Events (verbatim),NR
Primary Timepoint Recommended for Pooling,11 months
Outcome Suitable for Meta-analysis? (Yes / No),No
Data Requires Imputation for SD? (Yes / No / Not sure),NR
Comments / Extraction Notes,"Overall, 26 kidneys were stone-free at baseline and all 26 remained stone-free at average 11 months follow-up. Group averages for urinary phosphorus were not provided, but patient C showed urinary phosphorus levels of 43 mg/100 ml at baseline, 21 mg/100 ml with Aludrox, and 15 mg/100 ml with Hyalgel."
