Data Field,Value
Study ID,Robson 1978
Title,Obsolete but dangerous antacid preparations
First Author,R. H. Robson
Year,1978
Journal,Postgraduate Medical Journal
Country,UK
DOI / PMID / Trial Registry ID,NR
Funding Source,NR
Conflict of Interest Stated?,NR
Study Design,Case Report
Control Group Type,N/A
Blinding,N/A
Randomization Method,N/A
Allocation Concealment,N/A
Dietary Restrictions or Co-interventions?,N/A
Duration of Treatment,20 to 30 years
Total Follow-up Duration,N/A
Loss to Follow-up (n per arm if reported),N/A
Analysis Population Used,N/A
Total Sample Size (Randomized),3
Sample Size Analyzed (Primary Outcome),3
Mean Age (± SD),61.3
Sex (% Female),0
BMI (Mean ± SD),NR
Stone Type,NR
History of Stones,Yes (Cases 2 and 3 had previous calculi)
Baseline Stone Size or Burden (if reported),NR
Baseline Urinary Calcium (Mean ± SD, units),2.3 to 6.14 mmol/24h
Baseline Urinary pH (Mean ± SD),NR
Species,N/A
Stone Induction Method,N/A
Arm ID,Case series
Intervention Name,Calcium carbonate-sodium bicarbonate powders
Dose,"7 to 15 g of calcium carbonate, 20 to 30 g of sodium bicarbonate"
Frequency,Daily
Route,Oral
Comparator Name,N/A
Concomitant Medications Allowed?,Milk (up to two pints daily)
Outcome A: Stone Recurrence / New Stone Formation (DICHOTOMOUS),N/A
Outcome Definition (verbatim or summary),NR
Method of Detection,NR
Timepoint Assessed,NR
Events (n) [Intervention],NR
Total (N) [Intervention],NR
Events (n) [Control],NR
Total (N) [Control],NR
Effect Measure Reported in Paper,NR
Time-to-Event Data Reported?,NR
Outcome B: Urinary Biochemistry (CONTINUOUS),N/A
Timepoint Assessed,NR
Urine Calcium [Intervention],NR
Urine Calcium [Control],NR
Urine Citrate [Intervention],NR
Urine Citrate [Control],NR
Urine Oxalate [Intervention],NR
Urine Oxalate [Control],NR
Urine Magnesium [Intervention],NR
Urine Magnesium [Control],NR
Urine pH [Intervention],NR
Urine pH [Control],NR
Urine Phosphorus [Intervention],NR
Urine Phosphorus [Control],NR
Variance Type Used,NR
Outcome C: ANIMAL-ONLY OUTCOMES,N/A
Kidney Calcium Content (Mean ± SD),N/A
Intervention,NR
Control,NR
Crystal Deposit Score (Mean ± SD),N/A
Intervention,NR
Control,NR
GI Symptoms (n per arm),"Vomiting, heartburn, indigestion, active duodenal ulceration, oesophagitis"
Withdrawals Due to Adverse Events (n per arm),N/A
Other Adverse Events (verbatim),"Acute hypercalcaemia, confusion, dehydration, renal colic"
Primary Timepoint Recommended for Pooling,N/A
Outcome Suitable for Meta-analysis? (Yes / No),No
Data Requires Imputation for SD? (Yes / No / Not sure),N/A
Comments / Extraction Notes,Case reports of three patients developing hypercalcaemia or recurrent nephrolithiasis after chronic ingestion of calcium carbonate-sodium bicarbonate powders for 20 to 30 years.
