Data Field,Value
Study ID,Santin 1998
Title,Changes in the surface conditioning of calcium-salt crystals treated with physiological and alkaline urine
First Author,Santin
Year,1998
Journal,British Journal of Urology
Country,Italy
DOI / PMID / Trial Registry ID,NR
Funding Source,NR
Conflict of Interest Stated?,NR
Study Design,In vitro
Control Group Type,N/A
Blinding,N/A
Randomization Method,N/A
Allocation Concealment,N/A
Dietary Restrictions or Co-interventions?,N/A
Duration of Treatment,24 h
Total Follow-up Duration,N/A
Loss to Follow-up (n per arm if reported),N/A
Analysis Population Used,N/A
Total Sample Size (Randomized),N/A
Sample Size Analyzed (Primary Outcome),N/A
Mean Age (± SD),NR
Sex (% Female),0
BMI (Mean ± SD),NR
Stone Type,"Calcium oxalate, calcium carbonate, and calcium phosphate crystals"
History of Stones,N/A
Baseline Stone Size or Burden (if reported),N/A
Baseline Urinary Calcium (Mean ± SD, units),NR
Baseline Urinary pH (Mean ± SD),5.5±0.2
Species,N/A
Stone Induction Method,N/A
Arm ID,1
Intervention Name,Physiological urine (pH 5.5)
Dose,0.5 mL per 20 mg crystals
Frequency,Single incubation
Route,In vitro
Comparator Name,Alkaline urine (pH 8.0)
Concomitant Medications Allowed?,N/A
Outcome A: Stone Recurrence / New Stone Formation (DICHOTOMOUS),N/A
Outcome Definition (verbatim or summary),N/A
Method of Detection,N/A
Timepoint Assessed,N/A
Events (n) [Intervention],N/A
Total (N) [Intervention],N/A
Events (n) [Control],N/A
Total (N) [Control],N/A
Effect Measure Reported in Paper,N/A
Time-to-Event Data Reported?,N/A
Outcome B: Urinary Biochemistry (CONTINUOUS),N/A
Timepoint Assessed,N/A
Urine Calcium [Intervention],N/A
Urine Calcium [Control],N/A
Urine Citrate [Intervention],N/A
Urine Citrate [Control],N/A
Urine Oxalate [Intervention],N/A
Urine Oxalate [Control],N/A
Urine Magnesium [Intervention],N/A
Urine Magnesium [Control],N/A
Urine pH [Intervention],N/A
Urine pH [Control],N/A
Urine Phosphorus [Intervention],N/A
Urine Phosphorus [Control],N/A
Variance Type Used,N/A
Outcome C: ANIMAL-ONLY OUTCOMES,N/A
Kidney Calcium Content (Mean ± SD),N/A
Intervention,N/A
Control,N/A
Crystal Deposit Score (Mean ± SD),N/A
Intervention,N/A
Control,N/A
GI Symptoms (n per arm),N/A
Withdrawals Due to Adverse Events (n per arm),N/A
Other Adverse Events (verbatim),N/A
Primary Timepoint Recommended for Pooling,24 h
Outcome Suitable for Meta-analysis? (Yes / No),NR
Data Requires Imputation for SD? (Yes / No / Not sure),N/A
Comments / Extraction Notes,"In vitro model studying protein adsorption on calcium carbonate, oxalate, and phosphate crystals treated with urine."
Study ID,Santin 1998
Title,Changes in the surface conditioning of calcium-salt crystals treated with physiological and alkaline urine
First Author,Santin
Year,1998
Journal,British Journal of Urology
Country,Italy
DOI / PMID / Trial Registry ID,NR
Funding Source,NR
Conflict of Interest Stated?,NR
Study Design,In vitro
Control Group Type,N/A
Blinding,N/A
Randomization Method,N/A
Allocation Concealment,N/A
Dietary Restrictions or Co-interventions?,N/A
Duration of Treatment,24 h
Total Follow-up Duration,N/A
Loss to Follow-up (n per arm if reported),N/A
Analysis Population Used,N/A
Total Sample Size (Randomized),N/A
Sample Size Analyzed (Primary Outcome),N/A
Mean Age (± SD),NR
Sex (% Female),0
BMI (Mean ± SD),NR
Stone Type,"Calcium oxalate, calcium carbonate, and calcium phosphate crystals"
History of Stones,N/A
Baseline Stone Size or Burden (if reported),N/A
Baseline Urinary Calcium (Mean ± SD, units),NR
Baseline Urinary pH (Mean ± SD),5.5±0.2
Species,N/A
Stone Induction Method,N/A
Arm ID,2
Intervention Name,Alkaline urine (pH 8.0)
Dose,0.5 mL per 20 mg crystals
Frequency,Single incubation
Route,In vitro
Comparator Name,Physiological urine (pH 5.5)
Concomitant Medications Allowed?,N/A
Outcome A: Stone Recurrence / New Stone Formation (DICHOTOMOUS),N/A
Outcome Definition (verbatim or summary),N/A
Method of Detection,N/A
Timepoint Assessed,N/A
Events (n) [Intervention],N/A
Total (N) [Intervention],N/A
Events (n) [Control],N/A
Total (N) [Control],N/A
Effect Measure Reported in Paper,N/A
Time-to-Event Data Reported?,N/A
Outcome B: Urinary Biochemistry (CONTINUOUS),N/A
Timepoint Assessed,N/A
Urine Calcium [Intervention],N/A
Urine Calcium [Control],N/A
Urine Citrate [Intervention],N/A
Urine Citrate [Control],N/A
Urine Oxalate [Intervention],N/A
Urine Oxalate [Control],N/A
Urine Magnesium [Intervention],N/A
Urine Magnesium [Control],N/A
Urine pH [Intervention],N/A
Urine pH [Control],N/A
Urine Phosphorus [Intervention],N/A
Urine Phosphorus [Control],N/A
Variance Type Used,N/A
Outcome C: ANIMAL-ONLY OUTCOMES,N/A
Kidney Calcium Content (Mean ± SD),N/A
Intervention,N/A
Control,N/A
Crystal Deposit Score (Mean ± SD),N/A
Intervention,N/A
Control,N/A
GI Symptoms (n per arm),N/A
Withdrawals Due to Adverse Events (n per arm),N/A
Other Adverse Events (verbatim),N/A
Primary Timepoint Recommended for Pooling,24 h
Outcome Suitable for Meta-analysis? (Yes / No),NR
Data Requires Imputation for SD? (Yes / No / Not sure),N/A
Comments / Extraction Notes,"In vitro model studying protein adsorption on calcium carbonate, oxalate, and phosphate crystals treated with urine."
