Data Field,Value
Study ID,Saville 1973
Title,Production feeding of lambs with diets based on grain I. Whole wheat plus sodium buffers or sodium chloride
First Author,Saville
Year,1973
Journal,Australian Journal of Experimental Agriculture and Animal Husbandry
Country,Australia
DOI / PMID / Trial Registry ID,NR
Funding Source,Australian Meat Research Council
Conflict of Interest Stated?,NR
Study Design,Randomized controlled trial
Control Group Type,No supplement control
Blinding,NR
Randomization Method,Restricted randomization based on body weight
Allocation Concealment,NR
Dietary Restrictions or Co-interventions?,N/A
Duration of Treatment,"84 days for half the lambs, 132 days for the remaining half"
Total Follow-up Duration,132 days
Loss to Follow-up (n per arm if reported),NR
Analysis Population Used,NR
Total Sample Size (Randomized),160
Sample Size Analyzed (Primary Outcome),160
Mean Age (± SD),7 months
Sex (% Female),NR
BMI (Mean ± SD),NR
Stone Type,Phosphate type containing both calcium and magnesium phosphates
History of Stones,NR
Baseline Stone Size or Burden (if reported),NR
Baseline Urinary Calcium (Mean ± SD, units),NR
Baseline Urinary pH (Mean ± SD),NR
Species,Merino lambs
Stone Induction Method,NR
Arm ID,1
Intervention Name,Nil (Unsupplemented whole wheat diet)
Dose,N/A
Frequency,Ad libitum
Route,Oral (mixed with feed)
Comparator Name,N/A
Concomitant Medications Allowed?,"Limestone, Vitamin A (1 million IU drench)"
Outcome A: Stone Recurrence / New Stone Formation (DICHOTOMOUS),N/A
Outcome Definition (verbatim or summary),Incidence of urinary calculi
Method of Detection,Post-mortem observation
Timepoint Assessed,Up to 132 days
Events (n) [Intervention],0
Total (N) [Intervention],32
Events (n) [Control],N/A
Total (N) [Control],N/A
Effect Measure Reported in Paper,Number of cases
Time-to-Event Data Reported?,NR
Outcome B: Urinary Biochemistry (CONTINUOUS),N/A
Timepoint Assessed,NR
Urine Calcium [Intervention],NR
Urine Calcium [Control],NR
Urine Citrate [Intervention],NR
Urine Citrate [Control],NR
Urine Oxalate [Intervention],NR
Urine Oxalate [Control],NR
Urine Magnesium [Intervention],NR
Urine Magnesium [Control],NR
Urine pH [Intervention],NR
Urine pH [Control],NR
Urine Phosphorus [Intervention],NR
Urine Phosphorus [Control],NR
Variance Type Used,NR
Outcome C: ANIMAL-ONLY OUTCOMES,N/A
Kidney Calcium Content (Mean ± SD),N/A
Intervention,NR
Control,NR
Crystal Deposit Score (Mean ± SD),N/A
Intervention,NR
Control,NR
GI Symptoms (n per arm),NR
Withdrawals Due to Adverse Events (n per arm),NR
Other Adverse Events (verbatim),"Deaths, 1 case of grain poisoning, 1 case of polioencephalomalacia"
Primary Timepoint Recommended for Pooling,84 days
Outcome Suitable for Meta-analysis? (Yes / No),Yes
Data Requires Imputation for SD? (Yes / No / Not sure),NR
Comments / Extraction Notes,Four confirmed cases of urinary calculi were observed in the Na2HPO4 treatment. The study also recorded 1 case of grain poisoning and 1 case of polioencephalomalacia.
Study ID,Saville 1973
Title,Production feeding of lambs with diets based on grain I. Whole wheat plus sodium buffers or sodium chloride
First Author,Saville
Year,1973
Journal,Australian Journal of Experimental Agriculture and Animal Husbandry
Country,Australia
DOI / PMID / Trial Registry ID,NR
Funding Source,Australian Meat Research Council
Conflict of Interest Stated?,NR
Study Design,Randomized controlled trial
Control Group Type,No supplement control
Blinding,NR
Randomization Method,Restricted randomization based on body weight
Allocation Concealment,NR
Dietary Restrictions or Co-interventions?,N/A
Duration of Treatment,"84 days for half the lambs, 132 days for the remaining half"
Total Follow-up Duration,132 days
Loss to Follow-up (n per arm if reported),NR
