Data Field,Value
Study ID,Schweizer 1977
Title,PYELOLITHOTOMY OF A RENAL TRANSPLANT
First Author,ROBERT T. SCHWEIZER
Year,1977
Journal,The Journal of Urology
Country,USA
DOI / PMID / Trial Registry ID,NR
Funding Source,NR
Conflict of Interest Stated?,NR
Study Design,Case Report
Control Group Type,N/A
Blinding,N/A
Randomization Method,N/A
Allocation Concealment,N/A
Dietary Restrictions or Co-interventions?,NR
Duration of Treatment,NR
Total Follow-up Duration,8 months
Loss to Follow-up (n per arm if reported),NR
Analysis Population Used,N/A
Total Sample Size (Randomized),1
Sample Size Analyzed (Primary Outcome),1
Mean Age (± SD),51-year-old
Sex (% Female),0%
BMI (Mean ± SD),NR
Stone Type,NR
History of Stones,No renal stones or areas suspicious of tumor were found [in recipient's diseased kidneys]
Baseline Stone Size or Burden (if reported),NR
Baseline Urinary Calcium (Mean ± SD, units),normal
Baseline Urinary pH (Mean ± SD),NR
Species,N/A
Stone Induction Method,N/A
Arm ID,A
Intervention Name,pyelolithotomy
Dose,N/A
Frequency,N/A
Route,N/A
Comparator Name,N/A
Concomitant Medications Allowed?,"150 mg. azathioprine per day, 45 mg. prednisone per day, 1 gm. methyldopa, Gelusil (8 to 10 tablets every day), 5 mg. diazepam 3 times per day"
Outcome A: Stone Recurrence / New Stone Formation (DICHOTOMOUS),N/A
Outcome Definition (verbatim or summary),recurrence of calculi
Method of Detection,Followup IVPs
Timepoint Assessed,8 months
Events (n) [Intervention],0
Total (N) [Intervention],1
Events (n) [Control],N/A
Total (N) [Control],N/A
Effect Measure Reported in Paper,NR
Time-to-Event Data Reported?,NR
Outcome B: Urinary Biochemistry (CONTINUOUS),N/A
Timepoint Assessed,8 months
Urine Calcium [Intervention],NR
Urine Calcium [Control],N/A
Urine Citrate [Intervention],NR
Urine Citrate [Control],N/A
Urine Oxalate [Intervention],NR
Urine Oxalate [Control],N/A
Urine Magnesium [Intervention],NR
Urine Magnesium [Control],N/A
Urine pH [Intervention],NR
Urine pH [Control],N/A
Urine Phosphorus [Intervention],NR
Urine Phosphorus [Control],N/A
Variance Type Used,NR
Outcome C: ANIMAL-ONLY OUTCOMES,N/A
Kidney Calcium Content (Mean ± SD),N/A
Intervention,NR
Control,N/A
Crystal Deposit Score (Mean ± SD),N/A
Intervention,NR
Control,N/A
GI Symptoms (n per arm),NR
Withdrawals Due to Adverse Events (n per arm),NR
Other Adverse Events (verbatim),NR
Primary Timepoint Recommended for Pooling,8 months
Outcome Suitable for Meta-analysis? (Yes / No),No
Data Requires Imputation for SD? (Yes / No / Not sure),No
Comments / Extraction Notes,Stone measured 1.5 cm in length. Analysis of the stone was not performed because it was lost after removal. Antacid ingestion (magnesium trisilicate in Gelusil) was identified as a possible etiological factor.
