Data Field,Value
Study ID,Spellman 1955
Title,ALUMINUM GEL DIETARY PROPHYLAXIS AFTER EXTENSIVE NEPHROLITHOTOMY
First Author,ROBERT M. SPELLMAN
Year,1955
Journal,The Journal of Urology
Country,USA
DOI / PMID / Trial Registry ID,NR
Funding Source,The Dougherty Foundation
Conflict of Interest Stated?,NR
Study Design,Retrospective case series
Control Group Type,N/A
Blinding,NR
Randomization Method,NR
Allocation Concealment,NR
Dietary Restrictions or Co-interventions?,Shorr regimen (moderately low phosphate diet)
Duration of Treatment,1 to 7 years
Total Follow-up Duration,Average of 3 years (range 1 to 7 years)
Loss to Follow-up (n per arm if reported),1
Analysis Population Used,14 kidneys
Total Sample Size (Randomized),18 patients
Sample Size Analyzed (Primary Outcome),14 kidneys
Mean Age (± SD),47 years
Sex (% Female),8 females
BMI (Mean ± SD),NR
Stone Type,"calcium, magnesium, and ammonium phosphates and carbonates"
History of Stones,NR
Baseline Stone Size or Burden (if reported),"large, branching, radiopaque"
Baseline Urinary Calcium (Mean ± SD, units),NR
Baseline Urinary pH (Mean ± SD),alkaline in 14 cases and neutral or slightly acid in four
Species,N/A
Stone Induction Method,N/A
Arm ID,A
Intervention Name,Shorr regimen (aluminum hydroxide gels and low phosphate diet)
Dose,NR
Frequency,NR
Route,oral
Comparator Name,N/A
Concomitant Medications Allowed?,daily irrigations with saline or Suby's solution G (post-op)
Outcome A: Stone Recurrence / New Stone Formation (DICHOTOMOUS),N/A
Outcome Definition (verbatim or summary),Recurrence or growth of stones
Method of Detection,Radiographically
Timepoint Assessed,average of 3 years
Events (n) [Intervention],0
Total (N) [Intervention],14
Events (n) [Control],N/A
Total (N) [Control],N/A
Effect Measure Reported in Paper,NR
Time-to-Event Data Reported?,NR
Outcome B: Urinary Biochemistry (CONTINUOUS),N/A
Timepoint Assessed,NR
Urine Calcium [Intervention],NR
Urine Calcium [Control],N/A
Urine Citrate [Intervention],NR
Urine Citrate [Control],N/A
Urine Oxalate [Intervention],NR
Urine Oxalate [Control],N/A
Urine Magnesium [Intervention],NR
Urine Magnesium [Control],N/A
Urine pH [Intervention],NR
Urine pH [Control],N/A
Urine Phosphorus [Intervention],NR
Urine Phosphorus [Control],N/A
Variance Type Used,NR
Outcome C: ANIMAL-ONLY OUTCOMES,N/A
Kidney Calcium Content (Mean ± SD),N/A
Intervention,NR
Control,N/A
Crystal Deposit Score (Mean ± SD),N/A
Intervention,NR
Control,N/A
GI Symptoms (n per arm),NR
Withdrawals Due to Adverse Events (n per arm),NR
Other Adverse Events (verbatim),"Major postoperative hemorrhage (4 instances), Transient uremia (3 patients), blood urea nitrogen elevation to 80 mg. per cent"
Primary Timepoint Recommended for Pooling,3 years
Outcome Suitable for Meta-analysis? (Yes / No),No
Data Requires Imputation for SD? (Yes / No / Not sure),No
Comments / Extraction Notes,The study analyzed 18 operations but follow-up was only available for 14 kidneys (3 required nephrectomies for hemorrhage and 1 was lost to follow-up). Recurrences were noted in patients who deviated from the regimen.
