Data Field,Value
Study ID,Wolkowski-Tyl 1983
Title,Effects of Selected Therapeutic Agents on Urolithiasis Induced by Terephthalic Acid in the Male Weanling Fischer 344 Rat
First Author,Wolkowski-Tyl
Year,1983
Journal,Fundam. Appl. Toxicol.
Country,USA
DOI / PMID / Trial Registry ID,NR
Funding Source,Chemical Industry Institute of Toxicology
Conflict of Interest Stated?,NR
Study Design,Experimental animal study
Control Group Type,Negative control (vehicle) and Positive control (TPA only)
Blinding,NR
Randomization Method,distributed randomly across six groups
Allocation Concealment,NR
Dietary Restrictions or Co-interventions?,Food and tap water were provided ad libitum
Duration of Treatment,14 days
Total Follow-up Duration,14 days
Loss to Follow-up (n per arm if reported),NR
Analysis Population Used,NR
Total Sample Size (Randomized),60
Sample Size Analyzed (Primary Outcome),60
Mean Age (± SD),weanling (postnatal day 28)
Sex (% Female),0%
BMI (Mean ± SD),NR
Stone Type,"principally of TPA, calcium, phosphate and protein"
History of Stones,None (induced)
Baseline Stone Size or Burden (if reported),N/A
Baseline Urinary Calcium (Mean ± SD, units),NR
Baseline Urinary pH (Mean ± SD),NR
Species,Male weanling Fischer 344 rat (CDF-COBS Fischer 344/CrlBr inbred albino rats)
Stone Induction Method,4.0% terephthalic acid (TPA) in the diet for two weeks
Arm ID,I
Intervention Name,Negative control
Dose,0.200 mL/50 g rat vehicle (0.5% carboxymethyl cellulose in tap water)
Frequency,Daily
Route,Oral gavage
Comparator Name,N/A
Concomitant Medications Allowed?,Control diet (NIH-31 powdered feed)
Outcome A: Stone Recurrence / New Stone Formation (DICHOTOMOUS),N/A
Outcome Definition (verbatim or summary),Incidence of Uroliths
Method of Detection,Macroscopic examination at sacrifice
Timepoint Assessed,postnatal day 42
Events (n) [Intervention],0
Total (N) [Intervention],10
Events (n) [Control],N/A
Total (N) [Control],N/A
Effect Measure Reported in Paper,Incidence
Time-to-Event Data Reported?,14 days
Outcome B: Urinary Biochemistry (CONTINUOUS),N/A
Timepoint Assessed,postnatal day 42
Urine Calcium [Intervention],NR
Urine Calcium [Control],N/A
Urine Citrate [Intervention],NR
Urine Citrate [Control],N/A
Urine Oxalate [Intervention],NR
Urine Oxalate [Control],N/A
Urine Magnesium [Intervention],NR
Urine Magnesium [Control],N/A
Urine pH [Intervention],7.00 ± 0.15
Urine pH [Control],N/A
Urine Phosphorus [Intervention],NR
Urine Phosphorus [Control],N/A
Variance Type Used,SE
