Data Field,Value
Study ID,Zarembski 1969
Title,SOME FACTORS INFLUENCING THE URINARY EXCRETION OF OXALIC ACID IN MAN
First Author,Zarembski
Year,1969
Journal,Clinica Chimica Acta
Country,U.K.
DOI / PMID / Trial Registry ID,NR
Funding Source,Medical Research Council
Conflict of Interest Stated?,NR
Study Design,Experimental crossover study
Control Group Type,Active control
Blinding,NR
Randomization Method,NR
Allocation Concealment,NR
Dietary Restrictions or Co-interventions?,controlled dietary regimens in a metabolic ward
Duration of Treatment,6 days
Total Follow-up Duration,NR
Loss to Follow-up (n per arm if reported),NR
Analysis Population Used,NR
Total Sample Size (Randomized),NR
Sample Size Analyzed (Primary Outcome),NR
Mean Age (± SD),NR
Sex (% Female),NR
BMI (Mean ± SD),NR
Stone Type,Calcium oxalate
History of Stones,patients with a history of calcium oxalate-containing renal stones
Baseline Stone Size or Burden (if reported),NR
Baseline Urinary Calcium (Mean ± SD, units),183 mg per day
Baseline Urinary pH (Mean ± SD),NR
Species,N/A
Stone Induction Method,N/A
Arm ID,1
Intervention Name,Na-EDTA
Dose,1.5 g
Frequency,daily
Route,oral
Comparator Name,Low calcium diet
Concomitant Medications Allowed?,NR
Outcome A: Stone Recurrence / New Stone Formation (DICHOTOMOUS),N/A
Outcome Definition (verbatim or summary),NR
Method of Detection,NR
Timepoint Assessed,NR
Events (n) [Intervention],NR
Total (N) [Intervention],NR
Events (n) [Control],NR
Total (N) [Control],NR
Effect Measure Reported in Paper,NR
Time-to-Event Data Reported?,NR
Outcome B: Urinary Biochemistry (CONTINUOUS),N/A
Timepoint Assessed,6 days
Urine Calcium [Intervention],NR
Urine Calcium [Control],NR
Urine Citrate [Intervention],NR
Urine Citrate [Control],NR
Urine Oxalate [Intervention],NR
Urine Oxalate [Control],NR
Urine Magnesium [Intervention],NR
Urine Magnesium [Control],NR
Urine pH [Intervention],NR
Urine pH [Control],NR
Urine Phosphorus [Intervention],NR
Urine Phosphorus [Control],NR
Variance Type Used,NR
Outcome C: ANIMAL-ONLY OUTCOMES,N/A
Kidney Calcium Content (Mean ± SD),N/A
Intervention,NR
Control,NR
Crystal Deposit Score (Mean ± SD),N/A
Intervention,NR
Control,NR
GI Symptoms (n per arm),NR
Withdrawals Due to Adverse Events (n per arm),NR
Other Adverse Events (verbatim),NR
Primary Timepoint Recommended for Pooling,6 days
Outcome Suitable for Meta-analysis? (Yes / No),NR
Data Requires Imputation for SD? (Yes / No / Not sure),NR
Comments / Extraction Notes,"Study explores multiple factors influencing oxalic acid excretion including urine flow, diet, and various chemical supplements."
Study ID,Zarembski 1969
Title,SOME FACTORS INFLUENCING THE URINARY EXCRETION OF OXALIC ACID IN MAN
First Author,Zarembski
Year,1969
Journal,Clinica Chimica Acta
Country,U.K.
DOI / PMID / Trial Registry ID,NR
Funding Source,Medical Research Council
Conflict of Interest Stated?,NR
Study Design,Experimental crossover study
Control Group Type,Active control
Blinding,NR
Randomization Method,NR
Allocation Concealment,NR
Dietary Restrictions or Co-interventions?,controlled dietary regimens in a metabolic ward
Duration of Treatment,6 days
Total Follow-up Duration,NR
Loss to Follow-up (n per arm if reported),NR
Analysis Population Used,NR
Total Sample Size (Randomized),NR
Sample Size Analyzed (Primary Outcome),NR
Mean Age (± SD),NR
Sex (% Female),NR
BMI (Mean ± SD),NR
Stone Type,Calcium oxalate
History of Stones,patients with a history of calcium oxalate-containing renal stones
Baseline Stone Size or Burden (if reported),NR
Baseline Urinary Calcium (Mean ± SD, units),183 mg per day
Baseline Urinary pH (Mean ± SD),NR
Species,N/A
Stone Induction Method,N/A
Arm ID,2
Intervention Name,Magnesium oxide
Dose,500 mg
Frequency,daily
Route,oral
Comparator Name,Control diet
Concomitant Medications Allowed?,NR
Outcome A: Stone Recurrence / New Stone Formation (DICHOTOMOUS),N/A
Outcome Definition (verbatim or summary),NR
Method of Detection,NR
Timepoint Assessed,NR
Events (n) [Intervention],NR
Total (N) [Intervention],NR
Events (n) [Control],NR
Total (N) [Control],NR
Effect Measure Reported in Paper,NR
Time-to-Event Data Reported?,NR
Outcome B: Urinary Biochemistry (CONTINUOUS),N/A
Timepoint Assessed,6 days
Urine Calcium [Intervention],NR
Urine Calcium [Control],NR
Urine Citrate [Intervention],NR
Urine Citrate [Control],NR
Urine Oxalate [Intervention],NR
Urine Oxalate [Control],NR
Urine Magnesium [Intervention],NR
Urine Magnesium [Control],NR
